uf,cod_org,org,cod_orgsup,orgsup,grupo_nucleo,n_ativos,mes_ref
PB,57202,INSTITUTO NACIONAL DO SEGURO SOCIAL,33100,MINISTERIO DA PREVIDENCIA SOCIAL,INSS,308,2025-12
PB,13100,MIN DO DESENV AGR E AGRIC FAMILIAR,-1,SEM INFORMACAO,,5,2025-12
PB,17500,MIN GESTAO E INOV EM SERV PUBLICOS,-1,SEM INFORMACAO,,70,2025-12
PB,13300,MINISTERIO DA AGRICULTURA E PECUARIA,-1,SEM INFORMACAO,,67,2025-12
PB,40108,"MINISTERIO DA CIENCIA, TECNOLOGIA, INOVACOES E COMUNICACOES",-1,SEM INFORMACAO,,36,2025-12
PB,54100,MINISTERIO DA CULTURA,-1,SEM INFORMACAO,,2,2025-12
PB,17600,MINISTERIO DA FAZENDA,-1,SEM INFORMACAO,FAZ,165,2025-12
PB,13200,MINISTERIO DA PESCA E AQUICULTURA,-1,SEM INFORMACAO,,2,2025-12
PB,33100,MINISTERIO DA PREVIDENCIA SOCIAL,-1,SEM INFORMACAO,,95,2025-12
PB,25000,MINISTERIO DA SAUDE,-1,SEM INFORMACAO,,76,2025-12
PB,33200,MINISTERIO DO TRABALHO E EMPREGO,-1,SEM INFORMACAO,,78,2025-12
PB,26240,UNIVERSIDADE FEDERAL DA PARAIBA,15000,MINISTERIO DA EDUCACAO,UNIV,5790,2025-12
PB,26252,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE - PB,15000,MINISTERIO DA EDUCACAO,UNIV,2856,2025-12
PB,26258,UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA,15000,MINISTERIO DA EDUCACAO,UNIV,23,2025-12
PE,40116,ADVOCACIA-GERAL DA UNIAO,-1,SEM INFORMACAO,,401,2025-12
PE,40106,ADVOCACIA-GERAL DA UNIAO,20101,PRESIDENCIA DA REPUBLICA,,1,2025-12
PE,52201,AGENCIA NACIONAL DE AVIACAO CIVIL,49100,MINISTERIO DE PORTOS E AEROPORTOS,,21,2025-12
PE,32396,AGENCIA NACIONAL DE MINERACAO,32000,MINISTERIO DE MINAS E ENERGIA,,12,2025-12
PE,36208,AGENCIA NACIONAL DE SAUDE SUPLEMENTAR,25000,MINISTERIO DA SAUDE,,17,2025-12
PE,41231,AGENCIA NACIONAL DE TELECOMUNICACOES,40108,"MINISTERIO DA CIENCIA, TECNOLOGIA, INOVACOES E COMUNICACOES",,34,2025-12
PE,39251,AGENCIA NACIONAL DE TRANSPORTES AQUAVIARIOS,49100,MINISTERIO DE PORTOS E AEROPORTOS,,10,2025-12
PE,39250,AGENCIA NACIONAL DE TRANSPORTES TERRESTRES,49200,MINISTERIO DOS TRANSPORTES,,7,2025-12
PE,36207,AGENCIA NACIONAL DE VIGILANCIA SANITARIA,25000,MINISTERIO DA SAUDE,,17,2025-12
PE,99071,ASSEMBLEIA LEGISLATIVA - PERNAMBUCO,-1,SEM INFORMACAO,,3,2025-12
PE,21000,COMANDO DA AERONAUTICA,40115,MINISTERIO DA DEFESA,,102,2025-12
PE,70000,COMANDO DA MARINHA,40115,MINISTERIO DA DEFESA,,32,2025-12
PE,16000,COMANDO DO EXERCITO,40115,MINISTERIO DA DEFESA,,147,2025-12
PE,40301,COMISSAO NACIONAL DE ENERGIA NUCLEAR,40108,"MINISTERIO DA CIENCIA, TECNOLOGIA, INOVACOES E COMUNICACOES",,66,2025-12
PE,99010,COMPANHIA DE PESQUISA DE RECURSOS MINERAIS,32000,MINISTERIO DE MINAS E ENERGIA,,1,2025-12
PE,59000,CONTROLADORIA-GERAL DA UNIAO,-1,SEM INFORMACAO,,37,2025-12
PE,37000,DEFENSORIA PUBLICA DA UNIAO,-1,SEM INFORMACAO,,31,2025-12
PE,39252,DEPARTAMENTO NACIONAL DE INFRAESTRUTURA DE TRANSPORTES,49200,MINISTERIO DOS TRANSPORTES,,90,2025-12
PE,42204,DEPARTAMENTO NACIONAL DE OBRAS CONTRA AS SECAS,40100,MIN DA INTEG E DO DESENV REGIONAL,,17,2025-12
PE,26443,EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES,15000,MINISTERIO DA EDUCACAO,,17,2025-12
PE,40408,FUNDACAO CULTURAL PALMARES,54100,MINISTERIO DA CULTURA,,14,2025-12
PE,45205,FUNDACAO INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATISTICA,17300,MINISTERIO DO PLANEJAMENTO E ORCAMENTO,IBGE,109,2025-12
PE,26292,FUNDACAO JOAQUIM NABUCO,15000,MINISTERIO DA EDUCACAO,,145,2025-12
PE,57201,"FUNDACAO JORGE DUPRAT FIGUEIREDO, DE SEGURANCA E MEDICINA DO TRABALHO",33200,MINISTERIO DO TRABALHO E EMPREGO,,6,2025-12
PE,36205,FUNDACAO NACIONAL DE SAUDE,25000,MINISTERIO DA SAUDE,,54,2025-12
PE,30202,FUNDACAO NACIONAL DO INDIO,17200,MINISTERIO DOS POVOS INDIGENAS,,52,2025-12
PE,36201,FUNDACAO OSWALDO CRUZ,25000,MINISTERIO DA SAUDE,,149,2025-12
PE,26271,FUNDACAO UNIVERSIDADE DE BRASILIA,15000,MINISTERIO DA EDUCACAO,UNIV,1,2025-12
PE,94620,GOVERNO DO ESTADO DE PERNAMBUCO,-1,SEM INFORMACAO,,35,2025-12
PE,42207,INSTITUTO BRASILEIRO DE MUSEUS,54100,MINISTERIO DA CULTURA,,9,2025-12
PE,40701,INSTITUTO BRASILEIRO DO MEIO AMBIENTE E RECURSOS NATURAIS RENOVAVEIS,40211,MINISTERIO DO MEIO AMBIENTE,,62,2025-12
PE,44207,INSTITUTO CHICO MENDES DE CONSERVACAO DA BIODIVERSIDADE,40211,MINISTERIO DO MEIO AMBIENTE,,51,2025-12
PE,24204,INSTITUTO DO PATRIMONIO HISTORICO E ARTISTICO NACIONAL,54100,MINISTERIO DA CULTURA,,42,2025-12
PE,26418,INSTITUTO FEDERAL DE PERNAMBUCO,15000,MINISTERIO DA EDUCACAO,IF,2216,2025-12
PE,26430,INSTITUTO FEDERAL DO SERTAO PERNAMBUCANO,15000,MINISTERIO DA EDUCACAO,IF,808,2025-12
PE,26436,INSTITUTO FEDERAL SUL-RIO-GRANDENSE,15000,MINISTERIO DA EDUCACAO,,3,2025-12
PE,30204,INSTITUTO NACIONAL DA PROPRIEDADE INDUSTRIAL,17400,MIN DESENVOLV IND COMERCIO E SERVICOS,,5,2025-12
PE,42201,INSTITUTO NACIONAL DE COLONIZACAO E REFORMA AGRARIA,13100,MIN DO DESENV AGR E AGRIC FAMILIAR,,139,2025-12
PE,57202,INSTITUTO NACIONAL DO SEGURO SOCIAL,33100,MINISTERIO DA PREVIDENCIA SOCIAL,INSS,1275,2025-12
PE,40100,MIN DA INTEG E DO DESENV REGIONAL,-1,SEM INFORMACAO,,21,2025-12
PE,13100,MIN DO DESENV AGR E AGRIC FAMILIAR,-1,SEM INFORMACAO,,3,2025-12
PE,17500,MIN GESTAO E INOV EM SERV PUBLICOS,-1,SEM INFORMACAO,,125,2025-12
PE,13300,MINISTERIO DA AGRICULTURA E PECUARIA,-1,SEM INFORMACAO,,197,2025-12
PE,40108,"MINISTERIO DA CIENCIA, TECNOLOGIA, INOVACOES E COMUNICACOES",-1,SEM INFORMACAO,,35,2025-12
PE,17600,MINISTERIO DA FAZENDA,-1,SEM INFORMACAO,FAZ,668,2025-12
PE,13200,MINISTERIO DA PESCA E AQUICULTURA,-1,SEM INFORMACAO,,2,2025-12
PE,33100,MINISTERIO DA PREVIDENCIA SOCIAL,-1,SEM INFORMACAO,,162,2025-12
PE,25000,MINISTERIO DA SAUDE,-1,SEM INFORMACAO,,108,2025-12
PE,35000,MINISTERIO DAS RELACOES EXTERIORES,-1,SEM INFORMACAO,,2,2025-12
PE,33200,MINISTERIO DO TRABALHO E EMPREGO,-1,SEM INFORMACAO,,174,2025-12
PE,99068,PREFEITURA MUNICIPAL DE RECIFE - PE,-1,SEM INFORMACAO,,13,2025-12
PE,53203,SUPERINTENDENCIA DO DESENVOLVIMENTO DO NORDESTE,40100,MIN DA INTEG E DO DESENV REGIONAL,,104,2025-12
PE,33206,SUPERINTENDENCIA NACIONAL DE PREVIDENCIA COMPLEMENTAR,33100,MINISTERIO DA PREVIDENCIA SOCIAL,,7,2025-12
PE,26456,UNIVER. FEDERAL DO AGRESTE DE PERNAMBUCO,15000,MINISTERIO DA EDUCACAO,,340,2025-12
PE,26442,UNIVERSIDADE DA INTEGRACAO INTERNACIONAL DA LUSOFONIA AFRO-BRASILEIRA,15000,MINISTERIO DA EDUCACAO,UNIV,1,2025-12
PE,26242,UNIVERSIDADE FEDERAL DE PERNAMBUCO,15000,MINISTERIO DA EDUCACAO,UNIV,6192,2025-12
PE,26448,UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARA,15000,MINISTERIO DA EDUCACAO,UNIV,1,2025-12
PE,26230,UNIVERSIDADE FEDERAL DO VALE DO SAO FRANCISCO,15000,MINISTERIO DA EDUCACAO,UNIV,538,2025-12
PE,26248,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,15000,MINISTERIO DA EDUCACAO,UNIV,2116,2025-12
PI,40116,ADVOCACIA-GERAL DA UNIAO,-1,SEM INFORMACAO,,129,2025-12
PI,21300,AGENCIA ESPACIAL BRASILEIRA,40108,"MINISTERIO DA CIENCIA, TECNOLOGIA, INOVACOES E COMUNICACOES",,15,2025-12
PI,32396,AGENCIA NACIONAL DE MINERACAO,32000,MINISTERIO DE MINAS E ENERGIA,,5,2025-12
PI,41231,AGENCIA NACIONAL DE TELECOMUNICACOES,40108,"MINISTERIO DA CIENCIA, TECNOLOGIA, INOVACOES E COMUNICACOES",,9,2025-12
PI,39250,AGENCIA NACIONAL DE TRANSPORTES TERRESTRES,49200,MINISTERIO DOS TRANSPORTES,,2,2025-12
PI,36207,AGENCIA NACIONAL DE VIGILANCIA SANITARIA,25000,MINISTERIO DA SAUDE,,3,2025-12
PI,26201,COLEGIO PEDRO II,15000,MINISTERIO DA EDUCACAO,IF,270,2025-12
PI,16000,COMANDO DO EXERCITO,40115,MINISTERIO DA DEFESA,,49,2025-12
PI,29214,COMPANHIA BRASILEIRA DE TRENS URBANOS,40200,MINISTERIO DAS CIDADES,,2,2025-12
PI,22203,COMPANHIA DE DESENVOLVIMENTO DOS VALES DO SAO FRANCISCO E DO PARNAIBA,40100,MIN DA INTEG E DO DESENV REGIONAL,,2,2025-12
PI,22200,COMPANHIA NACIONAL DE ABASTECIMENTO,13100,MIN DO DESENV AGR E AGRIC FAMILIAR,,1,2025-12
PI,59000,CONTROLADORIA-GERAL DA UNIAO,-1,SEM INFORMACAO,,24,2025-12
PI,37000,DEFENSORIA PUBLICA DA UNIAO,-1,SEM INFORMACAO,,9,2025-12
PI,39252,DEPARTAMENTO NACIONAL DE INFRAESTRUTURA DE TRANSPORTES,49200,MINISTERIO DOS TRANSPORTES,,76,2025-12
PI,42204,DEPARTAMENTO NACIONAL DE OBRAS CONTRA AS SECAS,40100,MIN DA INTEG E DO DESENV REGIONAL,,68,2025-12
PI,49280,EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS,40108,"MINISTERIO DA CIENCIA, TECNOLOGIA, INOVACOES E COMUNICACOES",,6,2025-12
PI,22202,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA,13300,MINISTERIO DA AGRICULTURA E PECUARIA,,1,2025-12
PI,26443,EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES,15000,MINISTERIO DA EDUCACAO,,790,2025-12
PI,45205,FUNDACAO INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATISTICA,17300,MINISTERIO DO PLANEJAMENTO E ORCAMENTO,IBGE,65,2025-12
PI,36205,FUNDACAO NACIONAL DE SAUDE,25000,MINISTERIO DA SAUDE,,32,2025-12
PI,36201,FUNDACAO OSWALDO CRUZ,25000,MINISTERIO DA SAUDE,,3,2025-12
PI,94220,GOVERNO DO ESTADO DO PIAUI,-1,SEM INFORMACAO,,27,2025-12
PI,40701,INSTITUTO BRASILEIRO DO MEIO AMBIENTE E RECURSOS NATURAIS RENOVAVEIS,40211,MINISTERIO DO MEIO AMBIENTE,,55,2025-12
PI,44207,INSTITUTO CHICO MENDES DE CONSERVACAO DA BIODIVERSIDADE,40211,MINISTERIO DO MEIO AMBIENTE,,16,2025-12
PI,24204,INSTITUTO DO PATRIMONIO HISTORICO E ARTISTICO NACIONAL,54100,MINISTERIO DA CULTURA,,14,2025-12
PI,26417,INSTITUTO FEDERAL DA PARAIBA,15000,MINISTERIO DA EDUCACAO,,10,2025-12
PI,26406,INSTITUTO FEDERAL DO ESPIRITO SANTO,15000,MINISTERIO DA EDUCACAO,IF,2,2025-12
PI,26431,INSTITUTO FEDERAL DO PIAUI,15000,MINISTERIO DA EDUCACAO,IF,2342,2025-12
PI,42201,INSTITUTO NACIONAL DE COLONIZACAO E REFORMA AGRARIA,13100,MIN DO DESENV AGR E AGRIC FAMILIAR,,91,2025-12
PI,57202,INSTITUTO NACIONAL DO SEGURO SOCIAL,33100,MINISTERIO DA PREVIDENCIA SOCIAL,INSS,336,2025-12
PI,13100,MIN DO DESENV AGR E AGRIC FAMILIAR,-1,SEM INFORMACAO,,3,2025-12
PI,17500,MIN GESTAO E INOV EM SERV PUBLICOS,-1,SEM INFORMACAO,,45,2025-12
PI,13300,MINISTERIO DA AGRICULTURA E PECUARIA,-1,SEM INFORMACAO,,40,2025-12
PI,17600,MINISTERIO DA FAZENDA,-1,SEM INFORMACAO,FAZ,124,2025-12
PI,13200,MINISTERIO DA PESCA E AQUICULTURA,-1,SEM INFORMACAO,,3,2025-12
PI,33100,MINISTERIO DA PREVIDENCIA SOCIAL,-1,SEM INFORMACAO,,77,2025-12
PI,25000,MINISTERIO DA SAUDE,-1,SEM INFORMACAO,,65,2025-12
PI,35000,MINISTERIO DAS RELACOES EXTERIORES,-1,SEM INFORMACAO,,1,2025-12
PI,33200,MINISTERIO DO TRABALHO E EMPREGO,-1,SEM INFORMACAO,,70,2025-12
PI,20101,PRESIDENCIA DA REPUBLICA,-1,SEM INFORMACAO,,1,2025-12
PI,26455,UNIV. FEDERAL DO DELTA DO PARNAIBA,15000,MINISTERIO DA EDUCACAO,UNIV,389,2025-12
PI,26442,UNIVERSIDADE DA INTEGRACAO INTERNACIONAL DA LUSOFONIA AFRO-BRASILEIRA,15000,MINISTERIO DA EDUCACAO,UNIV,119,2025-12
PI,26279,UNIVERSIDADE FEDERAL DO PIAUI,15000,MINISTERIO DA EDUCACAO,UNIV,2587,2025-12
PI,26230,UNIVERSIDADE FEDERAL DO VALE DO SAO FRANCISCO,15000,MINISTERIO DA EDUCACAO,UNIV,61,2025-12
PR,40116,ADVOCACIA-GERAL DA UNIAO,-1,SEM INFORMACAO,,305,2025-12
PR,52201,AGENCIA NACIONAL DE AVIACAO CIVIL,49100,MINISTERIO DE PORTOS E AEROPORTOS,,10,2025-12
PR,32396,AGENCIA NACIONAL DE MINERACAO,32000,MINISTERIO DE MINAS E ENERGIA,,15,2025-12
PR,36208,AGENCIA NACIONAL DE SAUDE SUPLEMENTAR,25000,MINISTERIO DA SAUDE,,8,2025-12
PR,41231,AGENCIA NACIONAL DE TELECOMUNICACOES,40108,"MINISTERIO DA CIENCIA, TECNOLOGIA, INOVACOES E COMUNICACOES",,46,2025-12
PR,39251,AGENCIA NACIONAL DE TRANSPORTES AQUAVIARIOS,49100,MINISTERIO DE PORTOS E AEROPORTOS,,6,2025-12
PR,39250,AGENCIA NACIONAL DE TRANSPORTES TERRESTRES,49200,MINISTERIO DOS TRANSPORTES,,21,2025-12
PR,36207,AGENCIA NACIONAL DE VIGILANCIA SANITARIA,25000,MINISTERIO DA SAUDE,,29,2025-12
PR,21000,COMANDO DA AERONAUTICA,40115,MINISTERIO DA DEFESA,,34,2025-12
PR,70000,COMANDO DA MARINHA,40115,MINISTERIO DA DEFESA,,4,2025-12
PR,16000,COMANDO DO EXERCITO,40115,MINISTERIO DA DEFESA,,107,2025-12
PR,59000,CONTROLADORIA-GERAL DA UNIAO,-1,SEM INFORMACAO,,33,2025-12
PR,37000,DEFENSORIA PUBLICA DA UNIAO,-1,SEM INFORMACAO,,9,2025-12
PR,39252,DEPARTAMENTO NACIONAL DE INFRAESTRUTURA DE TRANSPORTES,49200,MINISTERIO DOS TRANSPORTES,,84,2025-12
PR,26443,EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES,15000,MINISTERIO DA EDUCACAO,,2,2025-12
PR,45205,FUNDACAO INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATISTICA,17300,MINISTERIO DO PLANEJAMENTO E ORCAMENTO,IBGE,147,2025-12
PR,57201,"FUNDACAO JORGE DUPRAT FIGUEIREDO, DE SEGURANCA E MEDICINA DO TRABALHO",33200,MINISTERIO DO TRABALHO E EMPREGO,,3,2025-12
PR,36205,FUNDACAO NACIONAL DE SAUDE,25000,MINISTERIO DA SAUDE,,17,2025-12
PR,30202,FUNDACAO NACIONAL DO INDIO,17200,MINISTERIO DOS POVOS INDIGENAS,,24,2025-12
PR,36201,FUNDACAO OSWALDO CRUZ,25000,MINISTERIO DA SAUDE,,87,2025-12
PR,26268,FUNDACAO UNIVERSIDADE FEDERAL DE RONDONIA,15000,MINISTERIO DA EDUCACAO,UNIV,1,2025-12
PR,26274,FUNDACAO UNIVERSIDADE FEDERAL UBERLANDIA,15000,MINISTERIO DA EDUCACAO,UNIV,7,2025-12
PR,96120,GOVERNO DO ESTADO DO PARANA,-1,SEM INFORMACAO,,15,2025-12
PR,42207,INSTITUTO BRASILEIRO DE MUSEUS,54100,MINISTERIO DA CULTURA,,2,2025-12
PR,40701,INSTITUTO BRASILEIRO DO MEIO AMBIENTE E RECURSOS NATURAIS RENOVAVEIS,40211,MINISTERIO DO MEIO AMBIENTE,,84,2025-12
PR,44207,INSTITUTO CHICO MENDES DE CONSERVACAO DA BIODIVERSIDADE,40211,MINISTERIO DO MEIO AMBIENTE,,83,2025-12
PR,24204,INSTITUTO DO PATRIMONIO HISTORICO E ARTISTICO NACIONAL,54100,MINISTERIO DA CULTURA,,19,2025-12
PR,26423,INSTITUTO FEDERAL DE SERGIPE,15000,MINISTERIO DA EDUCACAO,IF,1,2025-12
PR,26432,INSTITUTO FEDERAL DO PARANA,15000,MINISTERIO DA EDUCACAO,IF,2545,2025-12
PR,30204,INSTITUTO NACIONAL DA PROPRIEDADE INDUSTRIAL,17400,MIN DESENVOLV IND COMERCIO E SERVICOS,,3,2025-12
PR,42201,INSTITUTO NACIONAL DE COLONIZACAO E REFORMA AGRARIA,13100,MIN DO DESENV AGR E AGRIC FAMILIAR,,74,2025-12
PR,57202,INSTITUTO NACIONAL DO SEGURO SOCIAL,33100,MINISTERIO DA PREVIDENCIA SOCIAL,INSS,780,2025-12
PR,13100,MIN DO DESENV AGR E AGRIC FAMILIAR,-1,SEM INFORMACAO,,3,2025-12
PR,17500,MIN GESTAO E INOV EM SERV PUBLICOS,-1,SEM INFORMACAO,,61,2025-12
PR,13300,MINISTERIO DA AGRICULTURA E PECUARIA,-1,SEM INFORMACAO,,292,2025-12
PR,54100,MINISTERIO DA CULTURA,-1,SEM INFORMACAO,,2,2025-12
PR,17600,MINISTERIO DA FAZENDA,-1,SEM INFORMACAO,FAZ,1392,2025-12
PR,33100,MINISTERIO DA PREVIDENCIA SOCIAL,-1,SEM INFORMACAO,,166,2025-12
PR,25000,MINISTERIO DA SAUDE,-1,SEM INFORMACAO,,83,2025-12
PR,40200,MINISTERIO DAS CIDADES,-1,SEM INFORMACAO,,1,2025-12
PR,35000,MINISTERIO DAS RELACOES EXTERIORES,-1,SEM INFORMACAO,,2,2025-12
PR,33200,MINISTERIO DO TRABALHO E EMPREGO,-1,SEM INFORMACAO,,162,2025-12
PR,40603,SUPERINTENDENCIA DA ZONA FRANCA DE MANAUS,17400,MIN DESENVOLV IND COMERCIO E SERVICOS,,1,2025-12
PR,26440,UNIVERSIDADE FEDERAL DA FRONTEIRA SUL,15000,MINISTERIO DA EDUCACAO,UNIV,290,2025-12
PR,26267,UNIVERSIDADE FEDERAL DA INTEGRACAO LATINO-AMERICANA,15000,MINISTERIO DA EDUCACAO,UNIV,111,2025-12
PR,26241,UNIVERSIDADE FEDERAL DO PARANA,15000,MINISTERIO DA EDUCACAO,UNIV,5700,2025-12
PR,26258,UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA,15000,MINISTERIO DA EDUCACAO,UNIV,3487,2025-12
RJ,40116,ADVOCACIA-GERAL DA UNIAO,-1,SEM INFORMACAO,,603,2025-12
RJ,52201,AGENCIA NACIONAL DE AVIACAO CIVIL,49100,MINISTERIO DE PORTOS E AEROPORTOS,,217,2025-12
RJ,32396,AGENCIA NACIONAL DE MINERACAO,32000,MINISTERIO DE MINAS E ENERGIA,,8,2025-12
RJ,36208,AGENCIA NACIONAL DE SAUDE SUPLEMENTAR,25000,MINISTERIO DA SAUDE,,358,2025-12
RJ,41231,AGENCIA NACIONAL DE TELECOMUNICACOES,40108,"MINISTERIO DA CIENCIA, TECNOLOGIA, INOVACOES E COMUNICACOES",,67,2025-12
RJ,39251,AGENCIA NACIONAL DE TRANSPORTES AQUAVIARIOS,49100,MINISTERIO DE PORTOS E AEROPORTOS,,11,2025-12
RJ,39250,AGENCIA NACIONAL DE TRANSPORTES TERRESTRES,49200,MINISTERIO DOS TRANSPORTES,,31,2025-12
RJ,36207,AGENCIA NACIONAL DE VIGILANCIA SANITARIA,25000,MINISTERIO DA SAUDE,,44,2025-12
RJ,20224,AGENCIA NACIONAL DO CINEMA,54100,MINISTERIO DA CULTURA,,269,2025-12
RJ,32300,"AGENCIA NACIONAL DO PETROLEO, GAS NATURAL E BIOCOMBUSTIVEIS",32000,MINISTERIO DE MINAS E ENERGIA,,346,2025-12
RJ,99607,ASSEMBLEIA LEGISLATIVA - RIO DE JANEIRO,-1,SEM INFORMACAO,,8,2025-12
RJ,21201,CAIXA DE FINANCIAMENTO IMOBILIARIO DA AERONAUTICA,40115,MINISTERIO DA DEFESA,,3,2025-12
RJ,26256,CENTRO FEDERAL DE EDUCACAO TECNOLOGICA CELSO SUCKOW DA FONSECA,15000,MINISTERIO DA EDUCACAO,IF,1254,2025-12
RJ,26201,COLEGIO PEDRO II,15000,MINISTERIO DA EDUCACAO,IF,1931,2025-12
RJ,21000,COMANDO DA AERONAUTICA,40115,MINISTERIO DA DEFESA,,362,2025-12
RJ,70000,COMANDO DA MARINHA,40115,MINISTERIO DA DEFESA,,1422,2025-12
RJ,16000,COMANDO DO EXERCITO,40115,MINISTERIO DA DEFESA,,631,2025-12
RJ,45203,COMISSAO DE VALORES MOBILIARIOS,17600,MINISTERIO DA FAZENDA,FAZ,39,2025-12
RJ,40301,COMISSAO NACIONAL DE ENERGIA NUCLEAR,40108,"MINISTERIO DA CIENCIA, TECNOLOGIA, INOVACOES E COMUNICACOES",,407,2025-12
RJ,29214,COMPANHIA BRASILEIRA DE TRENS URBANOS,40200,MINISTERIO DAS CIDADES,,27,2025-12
RJ,99010,COMPANHIA DE PESQUISA DE RECURSOS MINERAIS,32000,MINISTERIO DE MINAS E ENERGIA,,2,2025-12
RJ,59000,CONTROLADORIA-GERAL DA UNIAO,-1,SEM INFORMACAO,,49,2025-12
RJ,37000,DEFENSORIA PUBLICA DA UNIAO,-1,SEM INFORMACAO,,62,2025-12
RJ,39252,DEPARTAMENTO NACIONAL DE INFRAESTRUTURA DE TRANSPORTES,49200,MINISTERIO DOS TRANSPORTES,,89,2025-12
RJ,20415,EMPRESA BRASIL DE COMUNICACAO,20101,PRESIDENCIA DA REPUBLICA,,4,2025-12
RJ,35201,FUNDACAO ALEXANDRE GUSMAO,35000,MINISTERIO DAS RELACOES EXTERIORES,,1,2025-12
RJ,24205,FUNDACAO BIBLIOTECA NACIONAL,54100,MINISTERIO DA CULTURA,,142,2025-12
RJ,40403,FUNDACAO CASA DE RUI BARBOSA,54100,MINISTERIO DA CULTURA,,75,2025-12
RJ,40408,FUNDACAO CULTURAL PALMARES,54100,MINISTERIO DA CULTURA,,2,2025-12
RJ,45205,FUNDACAO INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATISTICA,17300,MINISTERIO DO PLANEJAMENTO E ORCAMENTO,IBGE,994,2025-12
RJ,57201,"FUNDACAO JORGE DUPRAT FIGUEIREDO, DE SEGURANCA E MEDICINA DO TRABALHO",33200,MINISTERIO DO TRABALHO E EMPREGO,,6,2025-12
RJ,24203,FUNDACAO NACIONAL DE ARTES,54100,MINISTERIO DA CULTURA,,89,2025-12
RJ,36205,FUNDACAO NACIONAL DE SAUDE,25000,MINISTERIO DA SAUDE,,18,2025-12
RJ,30202,FUNDACAO NACIONAL DO INDIO,17200,MINISTERIO DOS POVOS INDIGENAS,,39,2025-12
RJ,16100,FUNDACAO OSORIO,40115,MINISTERIO DA DEFESA,,47,2025-12
RJ,36201,FUNDACAO OSWALDO CRUZ,25000,MINISTERIO DA SAUDE,,3383,2025-12
RJ,95320,GOVERNO DO ESTADO DO RIO DE JANEIRO,-1,SEM INFORMACAO,,25,2025-12
RJ,42207,INSTITUTO BRASILEIRO DE MUSEUS,54100,MINISTERIO DA CULTURA,,106,2025-12
RJ,40701,INSTITUTO BRASILEIRO DO MEIO AMBIENTE E RECURSOS NATURAIS RENOVAVEIS,40211,MINISTERIO DO MEIO AMBIENTE,,72,2025-12
RJ,44207,INSTITUTO CHICO MENDES DE CONSERVACAO DA BIODIVERSIDADE,40211,MINISTERIO DO MEIO AMBIENTE,,312,2025-12
RJ,45206,INSTITUTO DE PESQUISA ECONOMICA APLICADA,17300,MINISTERIO DO PLANEJAMENTO E ORCAMENTO,,5,2025-12
RJ,44206,INSTITUTO DE PESQUISAS JARDIM BOTANICO DO RIO DE JANEIRO,40211,MINISTERIO DO MEIO AMBIENTE,,143,2025-12
RJ,24204,INSTITUTO DO PATRIMONIO HISTORICO E ARTISTICO NACIONAL,54100,MINISTERIO DA CULTURA,,138,2025-12
RJ,26433,INSTITUTO FEDERAL DO RIO DE JANEIRO,15000,MINISTERIO DA EDUCACAO,IF,1941,2025-12
RJ,26434,INSTITUTO FEDERAL FLUMINENSE,15000,MINISTERIO DA EDUCACAO,,1528,2025-12
RJ,30204,INSTITUTO NACIONAL DA PROPRIEDADE INDUSTRIAL,17400,MIN DESENVOLV IND COMERCIO E SERVICOS,,742,2025-12
RJ,42201,INSTITUTO NACIONAL DE COLONIZACAO E REFORMA AGRARIA,13100,MIN DO DESENV AGR E AGRIC FAMILIAR,,58,2025-12
RJ,30203,"INSTITUTO NACIONAL DE METROLOGIA, QUALIDADE E TECNOLOGIA",17400,MIN DESENVOLV IND COMERCIO E SERVICOS,,465,2025-12
RJ,57202,INSTITUTO NACIONAL DO SEGURO SOCIAL,33100,MINISTERIO DA PREVIDENCIA SOCIAL,INSS,1320,2025-12
RJ,40100,MIN DA INTEG E DO DESENV REGIONAL,-1,SEM INFORMACAO,,3,2025-12
RJ,13100,MIN DO DESENV AGR E AGRIC FAMILIAR,-1,SEM INFORMACAO,,3,2025-12
RJ,17500,MIN GESTAO E INOV EM SERV PUBLICOS,-1,SEM INFORMACAO,,485,2025-12
RJ,13300,MINISTERIO DA AGRICULTURA E PECUARIA,-1,SEM INFORMACAO,,113,2025-12
RJ,40108,"MINISTERIO DA CIENCIA, TECNOLOGIA, INOVACOES E COMUNICACOES",-1,SEM INFORMACAO,,549,2025-12
RJ,40115,MINISTERIO DA DEFESA,-1,SEM INFORMACAO,,3,2025-12
RJ,15000,MINISTERIO DA EDUCACAO,-1,SEM INFORMACAO,,539,2025-12
RJ,17600,MINISTERIO DA FAZENDA,-1,SEM INFORMACAO,FAZ,1838,2025-12
