org_siape,cod_org,org_abono,grupo_nucleo,grupo_abono,metodo,score,n_ativos,grupo_consistente
INSTITUTO FEDERAL DE SANTA CATARINA,26438,INSTITUTO FEDERAL DE SANTA CATARINA,IF,IF,exato,100.0,2675,True
INSTITUTO FEDERAL DO RIO GRANDE DO NORTE,26435,INSTITUTO FEDERAL DO RIO GRANDE DO NORTE,IF,IF,exato,100.0,2645,True
UNIVERSIDADE FEDERAL DO PIAUI,26279,UNIVERSIDADE FEDERAL DO PIAUI,UNIV,UNIV,exato,100.0,2587,True
FUNDACAO UNIVERSIDADE FEDERAL DE PELOTAS,26278,FUNDACAO UNIVERSIDADE FEDERAL DE PELOTAS,UNIV,UNIV,exato,100.0,2581,True
MINISTERIO DAS RELACOES EXTERIORES,35000,MINISTERIO DAS RELACOES EXTERIORES,,,exato,100.0,2561,True
COMANDO DA AERONAUTICA,21000,COMANDO DA AERONAUTICA,,,exato,100.0,2548,True
INSTITUTO FEDERAL DO PARANA,26432,INSTITUTO FEDERAL DO PARANA,IF,IF,exato,100.0,2546,True
INSTITUTO FEDERAL DO PARA,26416,INSTITUTO FEDERAL DO PARA,IF,IF,exato,100.0,2415,True
INSTITUTO FEDERAL DA PARAIBA,26417,INSTITUTO FEDERAL DA PARAIBA,,,exato,100.0,2407,True
INSTITUTO FEDERAL DO PIAUI,26431,INSTITUTO FEDERAL DO PIAUI,IF,IF,exato,100.0,2343,True
UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,26249,UNIVERSIDADE DO RIO DE JANEIRO,UNIV,,fuzzy,100.0,2308,False
COMANDO DA MARINHA,70000,COMANDO DA MARINHA,,,exato,100.0,2293,True
UNIVERSIDADE FEDERAL DE SAO CARLOS - SP,26280,UNIVERSIDADE FEDERAL DE SAO CARLOS,UNIV,UNIV,fuzzy,100.0,2240,True
DEPARTAMENTO NACIONAL DE INFRAESTRUTURA DE TRANSPORTES,39252,,,,sem_casamento,0.0,2227,
INSTITUTO FEDERAL DE PERNAMBUCO,26418,INSTITUTO FEDERAL DE PERNAMBUCO,IF,IF,exato,100.0,2216,True
COLEGIO PEDRO II,26201,COLEGIO PEDRO II,IF,IF,exato,100.0,2205,True
INSTITUTO FEDERAL DO RIO GRANDE DO SUL,26419,INSTITUTO FEDERAL DO RIO GRANDE DO SUL,IF,IF,exato,100.0,2195,True
CONTROLADORIA-GERAL DA UNIAO,59000,CONTROLADORIA-GERAL DA UNIAO,,,exato,100.0,2184,True
UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,26248,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UNIV,UNIV,exato,100.0,2117,True
UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,26269,UNIVERSIDADE DO RIO DE JANEIRO,UNIV,,fuzzy,100.0,2053,False
INSTITUTO FEDERAL DE GOIAS,26429,INSTITUTO FEDERAL DE GOIAS,IF,IF,exato,100.0,1999,True
INSTITUTO CHICO MENDES DE CONSERVACAO DA BIODIVERSIDADE,44207,,,,sem_casamento,0.0,1984,
INSTITUTO FEDERAL DE MATO GROSSO,26414,INSTITUTO FEDERAL DE MATO GROSSO,IF,IF,exato,100.0,1961,True
INSTITUTO FEDERAL DO RIO DE JANEIRO,26433,INSTITUTO FEDERAL DO RIO DE JANEIRO,IF,IF,exato,100.0,1941,True
INSTITUTO FEDERAL DE MINAS GERAIS,26409,INSTITUTO FEDERAL DE MINAS GERAIS,IF,IF,exato,100.0,1915,True
UNIVERSIDADE FEDERAL DO TRIANGULO MINEIRO,26254,,UNIV,,sem_casamento,0.0,1885,
UNIVERSIDADE FEDERAL DO RIO GRANDE - RS,26273,UNIVERSIDADE FEDERAL DO RIO GRANDE,UNIV,UNIV,fuzzy,100.0,1859,True
INSTITUTO FEDERAL DE ALAGOAS,26402,INSTITUTO FEDERAL DE ALAGOAS,IF,IF,exato,100.0,1840,True
INSTITUTO FEDERAL CATARINENSE,26422,INSTITUTO FEDERAL CATARINENSE,,,exato,100.0,1801,True
INSTITUTO FEDERAL DO AMAZONAS,26403,INSTITUTO FEDERAL DO AMAZONAS,IF,IF,exato,100.0,1800,True
INSTITUTO FEDERAL SUL-RIO-GRANDENSE,26436,,,,sem_casamento,0.0,1798,
INSTITUTO FEDERAL BAIANO,26404,INSTITUTO FEDERAL BAIANO,,,exato,100.0,1791,True
FUNDACAO UNIVERSIDADE FEDERAL DO PAMPA,26266,FUNDACAO UNIVERSIDADE FEDERAL DO PAMPA,UNIV,UNIV,exato,100.0,1732,True
INSTITUTO FEDERAL FLUMINENSE,26434,INSTITUTO FEDERAL FLUMINENSE,,,exato,100.0,1716,True
FUNDACAO UNIVERSIDADE FEDERAL DE OURO PRETO,26277,,UNIV,,sem_casamento,0.0,1645,
CENTRO FEDERAL DE EDUCACAO TECNOLOGICA DE MINAS GERAIS,26257,,IF,,sem_casamento,0.0,1620,
FUNDACAO NACIONAL DO INDIO,30202,,,,sem_casamento,0.0,1610,
UNIVERSIDADE FEDERAL DO RECONCAVO DA BAHIA,26351,UNIVERSIDADE FEDERAL DA BAHIA,UNIV,UNIV,fuzzy,100.0,1575,True
FUNDACAO UNIVERSIDADE FEDERAL DA GRANDE DOURADOS,26350,,UNIV,,sem_casamento,0.0,1504,
MINISTERIO DA EDUCACAO,15000,MINISTERIO DA EDUCACAO,,,exato,100.0,1488,True
FUNDACAO UNIVERSIDADE FEDERAL DO ABC,26352,FUNDACAO UNIVERSIDADE FEDERAL DO ABC,UNIV,UNIV,exato,100.0,1471,True
UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI,26255,,UNIV,,sem_casamento,0.0,1468,
INSTITUTO FEDERAL FARROUPILHA,26420,INSTITUTO FEDERAL FARROUPILHA,,,exato,100.0,1465,True
FUNDACAO UNIVERSIDADE FEDERAL DO TOCANTINS,26251,FUNDACAO UNIVERSIDADE FEDERAL DO ABC,UNIV,UNIV,fuzzy,94.11764705882354,1439,True
INSTITUTO FEDERAL GOIANO,26407,INSTITUTO FEDERAL GOIANO,,,exato,100.0,1438,True
AGENCIA NACIONAL DE VIGILANCIA SANITARIA,36207,AGENCIA NACIONAL DE VIGILANCIA SANITARIA,,,exato,100.0,1431,True
CENTRO FEDERAL DE EDUCACAO TECNOLOGICA CELSO SUCKOW DA FONSECA,26256,,IF,,sem_casamento,0.0,1421,
UNIVERSIDADE FEDERAL DA FRONTEIRA SUL,26440,UNIVERSIDADE FEDERAL DA FRONTEIRA SUL,UNIV,UNIV,exato,100.0,1405,True
UNIVERSIDADE FEDERAL DE LAVRAS - MG,26263,UNIVERSIDADE FEDERAL DE LAVRAS,UNIV,UNIV,fuzzy,100.0,1401,True
MINISTERIO DA DEFESA,40115,MINISTERIO DA DEFESA,,,exato,100.0,1398,True
FUNDACAO UNIVERSIDADE FEDERAL DE SAO JOAO DEL-REI,26285,,UNIV,,sem_casamento,0.0,1397,
UNIVERSIDADE FEDERAL DO ACRE,26275,UNIVERSIDADE FEDERAL DO ACRE,UNIV,UNIV,exato,100.0,1367,True
INSTITUTO FEDERAL DO NORTE DE MINAS GERAIS,26410,INSTITUTO FEDERAL DE MINAS GERAIS,IF,IF,fuzzy,100.0,1364,True
INSTITUTO FEDERAL DE SERGIPE,26423,INSTITUTO FEDERAL DE SERGIPE,IF,IF,exato,100.0,1342,True
FUNDACAO UNIVERSIDADE FEDERAL DE RONDONIA,26268,FUND. UNIVERSIDADE FEDERAL DE RONDONIA,UNIV,UNIV,fuzzy,93.67088607594937,1338,True
INSTITUTO FEDERAL DE RONDONIA,26421,INSTITUTO FEDERAL DE RONDONIA,IF,IF,exato,100.0,1326,True
AGENCIA NACIONAL DE TELECOMUNICACOES,41231,AGENCIA NACIONAL DE TELECOMUNICACOES,,,exato,100.0,1315,True
COMISSAO NACIONAL DE ENERGIA NUCLEAR,40301,COMISSAO NACIONAL DE ENERGIA NUCLEAR,,,exato,100.0,1301,True
AGENCIA NACIONAL DE AVIACAO CIVIL,52201,AGENCIA NACIONAL DE AVIACAO CIVIL,,,exato,100.0,1282,True
INSTITUTO FEDERAL DE BRASILIA,26428,INSTITUTO FEDERAL DE BRASILIA,IF,IF,exato,100.0,1279,True
INSTITUTO FEDERAL DO SUDESTE DE MINAS GERAIS,26411,INSTITUTO FEDERAL DE MINAS GERAIS,IF,IF,fuzzy,100.0,1275,True
UNIVERSIDADE FEDERAL RURAL DO SEMI-ARIDO - RN,26264,UNIVERSIDADE FED. RURAL DO SEMI-ARIDO,UNIV,,fuzzy,92.7536231884058,1259,False
PRESIDENCIA DA REPUBLICA,20101,PRESIDENCIA DA REPUBLICA,,,exato,100.0,1245,True
INSTITUTO FEDERAL DO TOCANTINS,26424,INSTITUTO FEDERAL DO TOCANTINS,IF,IF,exato,100.0,1240,True
INSTITUTO FEDERAL DE MATO GROSSO DO SUL,26415,INSTITUTO FEDERAL DE MATO GROSSO DO SUL,IF,IF,exato,100.0,1176,True
INSTITUTO FEDERAL DO SUL DE MINAS GERAIS,26412,INSTITUTO FEDERAL DO SUL DE MINAS GERAIS,IF,IF,exato,100.0,1164,True
INSTITUTO FEDERAL DO TRIANGULO MINEIRO,26413,INSTITUTO FEDERAL DO TRIANGULO MINEIRO,IF,IF,exato,100.0,1118,True
FUNDACAO UNIVERSIDADE FEDERAL DO AMAPA,26286,FUNDACAO UNVERSIDADE FEDERAL DO AMAPA,UNIV,,fuzzy,98.66666666666667,1114,False
INSTITUTO NACIONAL DA PROPRIEDADE INDUSTRIAL,30204,INSTITUTO NAC. DA PROPRIEDADE INDUSTRIAL,,,fuzzy,93.33333333333333,1086,True
UNIVERSIDADE FEDERAL DO OESTE DO PARA,26441,UNIVERSIDADE FEDERAL DO OESTE DO PARA,UNIV,UNIV,exato,100.0,1084,True
UNIVERSIDADE FEDERAL RURAL DA AMAZONIA,26253,UNIVERSIDADE FEDERAL RURAL DA AMAZONIA,UNIV,UNIV,exato,100.0,1041,True
UNIVERSIDADE FEDERAL DE RORAIMA,26250,UNIVERSIDADE FEDERAL DE RORAIMA,UNIV,UNIV,exato,100.0,996,True
UNIVERSIDADE FEDERAL DO VALE DO SAO FRANCISCO,26230,,UNIV,,sem_casamento,0.0,990,
AGENCIA NACIONAL DE TRANSPORTES TERRESTRES,39250,AGENCIA NAC. DE TRANSPORTES TERRESTRES,,,fuzzy,92.95774647887323,970,True
FUNDACAO NACIONAL DE SAUDE,36205,FUNDACAO NACIONAL DE SAUDE,,,exato,100.0,960,True
EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES,26443,,,,sem_casamento,0.0,940,
INSTITUTO FEDERAL DO SERTAO PERNAMBUCANO,26430,INSTITUTO FEDERAL DO SERTAO PERNAMBUCANO,IF,IF,exato,100.0,935,True
UNIVERSIDADE FEDERAL DE ITAJUBA - MG,26261,UNIVERSIDADE FEDERAL DE ITAJUBA,UNIV,UNIV,fuzzy,100.0,931,True
AGENCIA NACIONAL DE MINERACAO,32396,AGENCIA NACIONAL DE MINERACAO,,,exato,100.0,921,True
UNIVERSIDADE FEDERAL DE ALFENAS - MG,26260,UNIVERSIDADE FEDERAL DE ALFENAS,UNIV,UNIV,fuzzy,100.0,910,True
UNIVERSIDADE FEDERAL DA INTEGRACAO LATINO-AMERICANA,26267,,UNIV,,sem_casamento,0.0,907,
INSTITUTO DO PATRIMONIO HISTORICO E ARTISTICO NACIONAL,24204,,,,sem_casamento,0.0,894,
INSTITUTO FEDERAL DO ACRE,26401,INSTITUTO FEDERAL DO ACRE,IF,IF,exato,100.0,796,True
INSTITUTO FEDERAL DE RORAIMA,26437,INSTITUTO FEDERAL DE RORAIMA,IF,IF,exato,100.0,783,True
UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARA,26448,UNIVERSIDADE FEDERAL DO PARA,UNIV,UNIV,fuzzy,100.0,772,True
MINISTERIO DA JUSTICA E SEGURANCA PUBLICA,20000,MINIST. DA JUSTICA E SEGURANCA PUBLICA,,,fuzzy,93.67088607594937,766,True
UNIVERSIDADE DA INTEGRACAO INTERNACIONAL DA LUSOFONIA AFRO-BRASILEIRA,26442,,UNIV,,sem_casamento,0.0,755,
MINISTERIO DO MEIO AMBIENTE,40211,MINISTERIO DO MEIO AMBIENTE,,,exato,100.0,732,True
"AGENCIA NACIONAL DO PETROLEO, GAS NATURAL E BIOCOMBUSTIVEIS",32300,,,,sem_casamento,0.0,729,
INSTITUTO FEDERAL DO AMAPA,26426,INSTITUTO FEDERAL DO AMAPA,IF,IF,exato,100.0,687,True
"INSTITUTO NACIONAL DE METROLOGIA, QUALIDADE E TECNOLOGIA",30203,,,,sem_casamento,0.0,670,
AGENCIA NACIONAL DE SAUDE SUPLEMENTAR,36208,AGENCIA NACIONAL DE SAUDE SUPLEMENTAR,,,exato,100.0,669,True
UNIVERSIDADE FEDERAL DO CARIRI - CE,26449,UNIVERSIDADE FEDERAL DO CARIRI,UNIV,UNIV,fuzzy,100.0,667,True
DEFENSORIA PUBLICA DA UNIAO,37000,DEFENSORIA PUBLICA DA UNIAO,,,exato,100.0,664,True
MIN DESENVOLV IND COMERCIO E SERVICOS,17400,MIN DESENVOLV IND COMERCIO E SERVICOS,,,exato,100.0,629,True
UNIVERSIDADE FEDERAL DO SUL DA BAHIA,26450,UNIVERSIDADE FEDERAL DO SUL DA BAHIA,UNIV,UNIV,exato,100.0,619,True
UNIVERSIDADE FEDERAL DO OESTE DA BAHIA,26447,UNIVERSIDADE FEDERAL DO OESTE DA BAHIA,UNIV,UNIV,exato,100.0,611,True
