org_siape,cod_org,org_abono,grupo_nucleo,grupo_abono,metodo,score,n_ativos,grupo_consistente
GOVERNO DO DISTRITO FEDERAL,97400,,,,sem_casamento,0.0,80,
AGENCIA ESPACIAL BRASILEIRA,21300,AGENCIA ESPACIAL BRASILEIRA,,,exato,100.0,79,True
MINISTERIO DA IGUALDADE RACIAL,81300,,,,sem_casamento,0.0,73,
MIN EMPREEND MICROEMP EMP PEQUENO PORTE,17700,MIN EMPREEND MICROEMP EMP PEQUENO PORTE,,,exato,100.0,70,True
SENADO FEDERAL,99016,,,,sem_casamento,0.0,68,
PODER EXECUTIVO FEDERAL,-20,,,,sem_casamento,0.0,61,
MINISTERIO DAS MULHERES,81200,,,,sem_casamento,0.0,60,
MINISTERIO PUBLICO DO DISTRITO FEDERAL E TERRITORIOS,90400,,,,sem_casamento,0.0,59,
FUNDACAO OSORIO,16100,FUNDACAO OSORIO,,,exato,100.0,57,True
MINISTERIO PUBLICO DO TRABALHO,90200,,,,sem_casamento,0.0,55,
SUPERINTENDENCIA DO DESENVOLVIMENTO DO CENTRO-OESTE,53297,,,,sem_casamento,0.0,55,
INST NAC DE TECN DA INFORMACAO,17800,,,,sem_casamento,0.0,53,
EMPRESA BRASIL DE COMUNICACAO,20415,,,,sem_casamento,0.0,50,
TRIBUNAL SUPERIOR DO TRABALHO,04000,,,,sem_casamento,0.0,48,
FUNDACAO CULTURAL PALMARES,40408,FUNDACAO CULTURAL PALMARES,,,exato,100.0,44,True
TRIBUNAL REGIONAL ELEITORAL - RO,00167,,,,sem_casamento,0.0,43,
TRIBUNAL REGIONAL ELEITORAL - RN,99020,,,,sem_casamento,0.0,42,
TRIBUNAL REGIONAL ELEITORAL - PE,99030,,,,sem_casamento,0.0,39,
GOVERNO DO ESTADO DE SAO PAULO,95420,,,,sem_casamento,0.0,39,
COMPANHIA BRASILEIRA DE TRENS URBANOS,29214,,,,sem_casamento,0.0,37,
GOVERNO DO ESTADO DE PERNAMBUCO,94620,,,,sem_casamento,0.0,35,
TRIBUNAL REGIONAL ELEITORAL - MG,99000,,,,sem_casamento,0.0,32,
FUNDACAO ALEXANDRE GUSMAO,35201,FUNDACAO ALEXANDRE DE GUSMAO,,,fuzzy,100.0,32,True
MINISTERIO PUBLICO FEDERAL,90100,,,,sem_casamento,0.0,31,
"VALEC ENGENHARIA, CONSTRUCOES E FERROVIAS S.A.",49300,,,,sem_casamento,0.0,30,
VICE PRESIDENCIA DA REPUBLICA,20102,PRESIDENCIA DA REPUBLICA,,,fuzzy,100.0,28,True
GOVERNO DO ESTADO DO PIAUI,94220,,,,sem_casamento,0.0,27,
SUPERIOR TRIBUNAL DE JUSTICA,00101,,,,sem_casamento,0.0,27,
TRIBUNAL REGIONAL FEDERAL DA 1A REGIAO - DF,99034,,,,sem_casamento,0.0,27,
TRIBUNAL REGIONAL ELEITORAL - PB,99021,,,,sem_casamento,0.0,27,
GOVERNO DO ESTADO DO RIO DE JANEIRO,95320,,,,sem_casamento,0.0,25,
PROCURADORIA-GERAL DA REPUBLICA,99004,,,,sem_casamento,0.0,24,
GOVERNO DO ESTADO DO CEARA,94320,,,,sem_casamento,0.0,23,
TRIBUNAL REGIONAL ELEITORAL - DF,99032,,,,sem_casamento,0.0,23,
GOVERNO DO ESTADO DE MINAS GERAIS,95120,,,,sem_casamento,0.0,22,
TRIBUNAL REGIONAL ELEITORAL - GO,00164,,,,sem_casamento,0.0,22,
MINISTERIO PUBLICO MILITAR,90300,,,,sem_casamento,0.0,21,
GOVERNO DO ESTADO DO RIO GRANDE DO SUL,96320,,,,sem_casamento,0.0,21,
SUPREMO TRIBUNAL FEDERAL,10000,,,,sem_casamento,0.0,21,
TRIBUNAL REGIONAL ELEITORAL - PI,99022,,,,sem_casamento,0.0,21,
TRIBUNAL REGIONAL FEDERAL DA 5A REGIAO - PE,99053,,,,sem_casamento,0.0,20,
EMPRESA DE PROCESSAMENTO DE DADOS DA PREVIDENCIA SOCIAL,57203,,,,sem_casamento,0.0,19,
GOVERNO DO ESTADO DE GOIAS,97320,,,,sem_casamento,0.0,17,
COMPANHIA NACIONAL DE ABASTECIMENTO,22200,,,,sem_casamento,0.0,17,
GOVERNO DO ESTADO DE SANTA CATARINA,96220,,,,sem_casamento,0.0,16,
TRIBUNAL REGIONAL DO TRABALHO,99905,,,,sem_casamento,0.0,16,
TRIBUNAL REGIONAL ELEITORAL - CE,99026,,,,sem_casamento,0.0,16,
MINISTERIO DO TRABALHO E EMPREGO,26000,MINISTERIO DO TRABALHO E EMPREGO,,,exato,100.0,16,True
TRIBUNAL REGIONAL ELEITORAL - RS,00165,,,,sem_casamento,0.0,16,
GOVERNO DO ESTADO DO PARANA,96120,,,,sem_casamento,0.0,15,
GOVERNO DO ESTADO DO PARA,93420,,,,sem_casamento,0.0,15,
TRIBUNAL REGIONAL ELEITORAL - MS,99012,,,,sem_casamento,0.0,15,
GOVERNO DO ESTADO DA BAHIA,94920,,,,sem_casamento,0.0,14,
"MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",13000,,,,sem_casamento,0.0,14,
GOVERNO DO ESTADO DE SERGIPE,94820,,,,sem_casamento,0.0,14,
HOSPITAL DE CLINICAS DE PORTO ALEGRE,99013,,,,sem_casamento,0.0,14,
TRIBUNAL REGIONAL ELEITORAL - BA,00162,,,,sem_casamento,0.0,14,
PREFEITURA MUNICIPAL DE RECIFE - PE,99068,,,,sem_casamento,0.0,13,
FUNDACAO DE PREVIDENCIA COMPLEMENTAR DO SERVIDOR PUBLICO FEDERAL,77000,,,,sem_casamento,0.0,13,
GOVERNO DO ESTADO DO MATO GROSSO DO SUL,97120,,,,sem_casamento,0.0,13,
GOVERNO DO ESTADO ESPIRITO SANTO,95220,,,,sem_casamento,0.0,13,
GOVERNO DO ESTADO DO RIO GRANDE DO NORTE,94420,,,,sem_casamento,0.0,13,
TRIBUNAL DE JUSTICA,99133,,,,sem_casamento,0.0,12,
MINISTERIO PUBLICO DA UNIAO,90150,,,,sem_casamento,0.0,11,
TRIBUNAL REGIONAL ELEITORAL - RJ,99002,,,,sem_casamento,0.0,10,
TRIBUNAL REGIONAL DO TRABALHO - DF,99003,,,,sem_casamento,0.0,10,
ADVOCACIA-GERAL DA UNIAO,40106,ADVOCACIA-GERAL DA UNIAO,,,exato,100.0,9,True
AMAZONIA AZUL TECNOLOGIAS DE DEFESA S.A.,52233,,,,sem_casamento,0.0,9,
TRIBUNAL SUPERIOR ELEITORAL,99047,,,,sem_casamento,0.0,8,
CAIXA DE FINANCIAMENTO IMOBILIARIO DA AERONAUTICA,21201,,,,sem_casamento,0.0,8,
ASSEMBLEIA LEGISLATIVA - RIO DE JANEIRO,99607,,,,sem_casamento,0.0,8,
MINISTERIO DA INFRAESTRUTURA,49000,,,,sem_casamento,0.0,8,
EMPRESA DE PESQUISA ENERGETICA,32314,,,,sem_casamento,0.0,8,
TRIBUNAL REGIONAL FEDERAL,99028,,,,sem_casamento,0.0,8,
GOVERNO DO ESTADO DA PARAIBA,94520,,,,sem_casamento,0.0,7,
TRIBUNAL REGIONAL ELEITORAL - MA,99027,,,,sem_casamento,0.0,7,
TRIBUNAL REGIONAL ELEITORAL - PA,99029,,,,sem_casamento,0.0,7,
GOVERNO DO ESTADO DE ALAGOAS,94720,,,,sem_casamento,0.0,7,
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL,45282,,,,sem_casamento,0.0,7,
PREFEITURA MUNICIPAL DE FORTALEZA - CE,99040,,,,sem_casamento,0.0,7,
GOVERNO DO ESTADO DO ACRE,93120,,,,sem_casamento,0.0,6,
HOSPITAL NOSSA SENHORA DA CONCEICAO,36210,,,,sem_casamento,0.0,6,
MINISTERIO DA ECONOMIA,17000,,,,sem_casamento,0.0,6,
MINISTERIO DO DESENVOLVIMENTO REGIONAL,40112,,,,sem_casamento,0.0,6,
EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS,49280,,,,sem_casamento,0.0,6,
GOVERNO DO DISTRITO FEDERAL,99072,,,,sem_casamento,0.0,6,
TRIBUNAL REGIONAL ELEITORAL - AM,99025,,,,sem_casamento,0.0,5,
COMPANHIA DE PESQUISA DE RECURSOS MINERAIS,99010,,,,sem_casamento,0.0,5,
EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA,22202,,,,sem_casamento,0.0,5,
TRIBUNAL REGIONAL ELEITORAL - SP,00166,,,,sem_casamento,0.0,5,
CAMARA LEGISLATIVA DO DISTRITO FEDERAL,97401,,,,sem_casamento,0.0,4,
PETROBRAS - HOLDING,91084,,,,sem_casamento,0.0,4,
TRIBUNAL REGIONAL ELEITORAL - SC,00168,,,,sem_casamento,0.0,4,
FINANCIADORA DE ESTUDOS E PROJETOS,20502,,,,sem_casamento,0.0,4,
GOVERNO DO ESTADO DO AMAPA,93220,,,,sem_casamento,0.0,4,
GOVERNO DO ESTADO DE RONDONIA,93520,,,,sem_casamento,0.0,4,
JUSTICA ELEITORAL,99904,,,,sem_casamento,0.0,4,
NUCLEBRAS EQUIPAMENTOS PESADOS,20302,,,,sem_casamento,0.0,4,
GOVERNO DO ESTADO DE RORAIMA,93620,,,,sem_casamento,0.0,3,
