uf_residencia,uf_upag,org_atuacao,grupo_nucleo,n_abono,mes_ref
ES,BA,MINISTERIO DA AGRICULTURA E PECUARIA,,6,2025-12
ES,RJ,MINISTERIO DA FAZENDA,FAZ,63,2025-12
ES,DF,MINISTERIO DA FAZENDA,FAZ,5,2025-12
ES,SP,MINISTERIO DA FAZENDA,FAZ,2,2025-12
ES,PR,MINISTERIO DA FAZENDA,FAZ,1,2025-12
ES,DF,MINISTERIO DA PREVIDENCIA SOCIAL,,3,2025-12
ES,ES,MINISTERIO DA SAUDE,,118,2025-12
ES,MG,MINISTERIO DA SAUDE,,2,2025-12
ES,RJ,MINISTERIO DA SAUDE,,1,2025-12
ES,DF,MINISTERIO DAS CIDADES,,1,2025-12
ES,DF,MINISTERIO DAS COMUNICACOES,,2,2025-12
ES,DF,MINISTERIO DO TRABALHO E EMPREGO,,21,2025-12
ES,DF,MINISTERIO DOS TRANSPORTES,,1,2025-12
ES,RJ,UNIV. FEDERAL RURAL DO RIO DE JANEIRO,UNIV,1,2025-12
ES,BA,UNIVERSIDADE FEDERAL DA BAHIA,UNIV,1,2025-12
ES,ES,UNIVERSIDADE FEDERAL DO ESPIRITO SANTO,UNIV,323,2025-12
GO,DF,ADVOCACIA-GERAL DA UNIAO,,52,2025-12
GO,DF,AGENCIA BRASILEIRA DE INTELIGENCIA,,8,2025-12
GO,DF,AGENCIA NACIONAL DE AGUAS,,1,2025-12
GO,DF,AGENCIA NACIONAL DE MINERACAO,,12,2025-12
GO,DF,AGENCIA NACIONAL DE TELECOMUNICACOES,,2,2025-12
GO,GO,AGENCIA NACIONAL DE VIGILANCIA SANITARIA,,7,2025-12
GO,DF,COMANDO DA AERONAUTICA,,17,2025-12
GO,DF,COMANDO DA MARINHA,,3,2025-12
GO,DF,COMANDO DO EXERCITO,,9,2025-12
GO,RJ,COMISSAO NACIONAL DE ENERGIA NUCLEAR,,6,2025-12
GO,DF,CONSELHO NAC.DE DESEN.CIEN.E TECNOLOGICO,,4,2025-12
GO,DF,CONTROLADORIA-GERAL DA UNIAO,,6,2025-12
GO,DF,DEPARTAMENTO DE POLICIA FEDERAL,,10,2025-12
GO,PR,DEPARTAMENTO DE POLICIA FEDERAL,,1,2025-12
GO,GO,DEPARTAMENTO DE POLICIA FEDERAL,,56,2025-12
GO,SC,DEPARTAMENTO DE POLICIA FEDERAL,,1,2025-12
GO,GO,DEPARTAMENTO NAC.DE INFRAEST. DE TRANSP.,,10,2025-12
GO,DF,DEPARTAMENTO NAC.DE INFRAEST. DE TRANSP.,,1,2025-12
GO,GO,DEPTO. DE POLICIA RODOVIARIA FEDERAL,,32,2025-12
GO,MT,DEPTO. DE POLICIA RODOVIARIA FEDERAL,,4,2025-12
GO,DF,DEPTO. DE POLICIA RODOVIARIA FEDERAL,,5,2025-12
GO,DF,FUND COORD APERF PESSOAL NIVEL SUPERIOR,,1,2025-12
GO,DF,FUND. INST. BRASIL. GEOG. E ESTATISTICA,,2,2025-12
GO,GO,FUND. INST. BRASIL. GEOG. E ESTATISTICA,,15,2025-12
GO,DF,FUNDACAO ESCOLA NACIONAL DE ADM. PUBLICA,,4,2025-12
GO,RJ,FUNDACAO NACIONAL DE ARTES,,1,2025-12
GO,DF,FUNDACAO NACIONAL DE SAUDE,,3,2025-12
GO,GO,FUNDACAO NACIONAL DE SAUDE,,15,2025-12
GO,DF,FUNDACAO NACIONAL DOS POVOS INDIGENAS,,8,2025-12
GO,DF,FUNDACAO UNIVERSIDADE DE BRASILIA,UNIV,16,2025-12
GO,DF,FUNDO NACIONAL DE DESENVOLV. DA EDUCACAO,,4,2025-12
GO,DF,INST. BR. MEIO AMB. REC. NAT. RENOVAVEIS,,17,2025-12
GO,RJ,"INST.NAC.METROLOGIA,NORM.E QUAL.INDL.",,5,2025-12
GO,DF,INST.NACIONAL DE EST.E PESQ.EDUCACIONAIS,,1,2025-12
GO,DF,INSTITUTO CHICO MENDES CONSERV.BIODIVER.,,6,2025-12
GO,DF,INSTITUTO DO PATR.HIST.E ART. NACIONAL,,1,2025-12
GO,DF,INSTITUTO FEDERAL DE BRASILIA,IF,1,2025-12
GO,GO,INSTITUTO FEDERAL DE GOIAS,IF,95,2025-12
GO,AM,INSTITUTO FEDERAL DO AMAZONAS,IF,1,2025-12
GO,TO,INSTITUTO FEDERAL DO TOCANTINS,IF,1,2025-12
GO,GO,INSTITUTO FEDERAL GOIANO,,58,2025-12
GO,GO,INSTITUTO NAC. DE COLONIZ E REF AGRARIA,,7,2025-12
GO,DF,INSTITUTO NAC. DE COLONIZ E REF AGRARIA,,6,2025-12
GO,MT,INSTITUTO NAC. DE COLONIZ E REF AGRARIA,,1,2025-12
GO,DF,INSTITUTO NACIONAL DE SEGURO SOCIAL,INSS,108,2025-12
GO,GO,MIN GESTAO E INOV EM SERV PUBLICOS,,1,2025-12
GO,DF,MIN GESTAO E INOV EM SERV PUBLICOS,,25,2025-12
GO,DF,MINIST. DA JUSTICA E SEGURANCA PUBLICA,,7,2025-12
GO,DF,MINISTERIO CIENCIA TECNOLOGIA INOVA,,5,2025-12
GO,DF,MINISTERIO DA AGRICULTURA E PECUARIA,,20,2025-12
GO,GO,MINISTERIO DA AGRICULTURA E PECUARIA,,19,2025-12
GO,DF,MINISTERIO DA CULTURA,,2,2025-12
GO,DF,MINISTERIO DA DEFESA,,4,2025-12
GO,DF,MINISTERIO DA EDUCACAO,,7,2025-12
GO,DF,MINISTERIO DA FAZENDA,FAZ,76,2025-12
GO,MG,MINISTERIO DA FAZENDA,FAZ,2,2025-12
GO,SP,MINISTERIO DA FAZENDA,FAZ,1,2025-12
GO,DF,MINISTERIO DA PREVIDENCIA SOCIAL,,9,2025-12
GO,DF,MINISTERIO DA SAUDE,,57,2025-12
GO,GO,MINISTERIO DA SAUDE,,231,2025-12
GO,DF,MINISTERIO DAS COMUNICACOES,,2,2025-12
GO,DF,MINISTERIO DAS RELACOES EXTERIORES,,8,2025-12
GO,DF,MINISTERIO DE MINAS E ENERGIA,,7,2025-12
GO,DF,MINISTERIO DO MEIO AMBIENTE,,2,2025-12
GO,DF,MINISTERIO DO PLANEJAMENTO E ORCAMENTO,,4,2025-12
GO,DF,MINISTERIO DO TRABALHO E EMPREGO,,26,2025-12
GO,DF,MINISTERIO DO TURISMO,,1,2025-12
GO,DF,MINISTERIO DOS TRANSPORTES,,2,2025-12
GO,DF,PRESIDENCIA DA REPUBLICA,,2,2025-12
GO,PE,SUPERINTENDENCIA DO DESENV. DO NORDESTE,,1,2025-12
GO,RJ,UNIVERSIDADE DO RIO DE JANEIRO,,1,2025-12
GO,GO,UNIVERSIDADE FEDERAL DE CATALAO,UNIV,14,2025-12
GO,GO,UNIVERSIDADE FEDERAL DE GOIAS,UNIV,447,2025-12
GO,GO,UNIVERSIDADE FEDERAL DE JATAI,UNIV,5,2025-12
GO,MT,UNIVERSIDADE FEDERAL DE MATO GROSSO,UNIV,5,2025-12
GO,AC,UNIVERSIDADE FEDERAL DO ACRE,UNIV,1,2025-12
MA,DF,ADVOCACIA-GERAL DA UNIAO,,15,2025-12
MA,DF,AGENCIA BRASILEIRA DE INTELIGENCIA,,1,2025-12
MA,RJ,AGENCIA NAC PETROLEO GAS NAT BIOCOMBUSTI,,1,2025-12
MA,DF,AGENCIA NAC. DE TRANSPORTES TERRESTRES,,5,2025-12
MA,DF,AGENCIA NACIONAL DE MINERACAO,,1,2025-12
MA,DF,AGENCIA NACIONAL DE TELECOMUNICACOES,,1,2025-12
MA,MA,AGENCIA NACIONAL DE VIGILANCIA SANITARIA,,3,2025-12
MA,DF,COMANDO DA AERONAUTICA,,18,2025-12
MA,PA,COMANDO DA MARINHA,,3,2025-12
MA,DF,COMANDO DO EXERCITO,,2,2025-12
MA,DF,CONTROLADORIA-GERAL DA UNIAO,,5,2025-12
MA,PI,DEPARTAMENTO DE POLICIA FEDERAL,,2,2025-12
MA,MA,DEPARTAMENTO DE POLICIA FEDERAL,,37,2025-12
MA,MA,DEPARTAMENTO NAC.DE INFRAEST. DE TRANSP.,,2,2025-12
MA,MA,DEPTO. DE POLICIA RODOVIARIA FEDERAL,,47,2025-12
MA,CE,FUND. INST. BRASIL. GEOG. E ESTATISTICA,,24,2025-12
MA,MA,FUNDACAO NACIONAL DE SAUDE,,45,2025-12
MA,DF,FUNDACAO NACIONAL DE SAUDE,,1,2025-12
MA,PI,FUNDACAO NACIONAL DE SAUDE,,1,2025-12
MA,DF,FUNDACAO NACIONAL DOS POVOS INDIGENAS,,21,2025-12
MA,MA,FUNDACAO UNIVERSIDADE DO MARANHAO,UNIV,354,2025-12
MA,DF,INST. BR. MEIO AMB. REC. NAT. RENOVAVEIS,,18,2025-12
MA,DF,INSTITUTO CHICO MENDES CONSERV.BIODIVER.,,1,2025-12
MA,DF,INSTITUTO DO PATR.HIST.E ART. NACIONAL,,8,2025-12
MA,MA,INSTITUTO FEDERAL DO MARANHAO,IF,141,2025-12
MA,PI,INSTITUTO FEDERAL DO PIAUI,IF,2,2025-12
MA,MG,INSTITUTO FEDERAL DO TRIANGULO MINEIRO,IF,1,2025-12
MA,MA,INSTITUTO NAC. DE COLONIZ E REF AGRARIA,,58,2025-12
MA,PI,INSTITUTO NAC. DE COLONIZ E REF AGRARIA,,1,2025-12
MA,PE,INSTITUTO NACIONAL DE SEGURO SOCIAL,INSS,107,2025-12
MA,DF,MIN GESTAO E INOV EM SERV PUBLICOS,,132,2025-12
MA,SP,MINISTERIO CIENCIA TECNOLOGIA INOVA,,1,2025-12
MA,MA,MINISTERIO DA AGRICULTURA E PECUARIA,,10,2025-12
MA,DF,MINISTERIO DA AGRICULTURA E PECUARIA,,6,2025-12
MA,DF,MINISTERIO DA EDUCACAO,,1,2025-12
MA,DF,MINISTERIO DA FAZENDA,FAZ,8,2025-12
MA,CE,MINISTERIO DA FAZENDA,FAZ,34,2025-12
MA,SP,MINISTERIO DA FAZENDA,FAZ,1,2025-12
MA,PR,MINISTERIO DA FAZENDA,FAZ,2,2025-12
MA,MG,MINISTERIO DA FAZENDA,FAZ,2,2025-12
MA,DF,MINISTERIO DA PREVIDENCIA SOCIAL,,4,2025-12
MA,MA,MINISTERIO DA SAUDE,,770,2025-12
MA,DF,MINISTERIO DA SAUDE,,2,2025-12
MA,PI,MINISTERIO DA SAUDE,,7,2025-12
MA,DF,MINISTERIO DO TRABALHO E EMPREGO,,37,2025-12
MA,DF,MINISTERIO DOS TRANSPORTES,,2,2025-12
MA,CE,UNIVERSIDADE FEDERAL DO CEARA,UNIV,1,2025-12
MA,PI,UNIVERSIDADE FEDERAL DO PIAUI,UNIV,6,2025-12
MG,DF,ADVOCACIA-GERAL DA UNIAO,,50,2025-12
MG,DF,AGENCIA BRASILEIRA DE INTELIGENCIA,,4,2025-12
MG,RJ,AGENCIA NAC PETROLEO GAS NAT BIOCOMBUSTI,,1,2025-12
MG,DF,AGENCIA NAC. DE TRANSPORTES AQUAVIARIOS,,1,2025-12
MG,DF,AGENCIA NAC. DE TRANSPORTES TERRESTRES,,6,2025-12
MG,DF,AGENCIA NACIONAL DE AVIACAO CIVIL,,4,2025-12
MG,DF,AGENCIA NACIONAL DE MINERACAO,,12,2025-12
MG,RJ,AGENCIA NACIONAL DE SAUDE SUPLEMENTAR,,1,2025-12
MG,DF,AGENCIA NACIONAL DE TELECOMUNICACOES,,5,2025-12
MG,MG,AGENCIA NACIONAL DE VIGILANCIA SANITARIA,,4,2025-12
MG,DF,AGENCIA NACIONAL DE VIGILANCIA SANITARIA,,1,2025-12
MG,RJ,AGENCIA NACIONAL DO CINEMA,,1,2025-12
MG,MG,CENTRO FED.DE EDUC.TECNOL.MINAS GERAIS,,131,2025-12
MG,DF,COMANDO DA AERONAUTICA,,9,2025-12
MG,MG,COMANDO DA AERONAUTICA,,4,2025-12
MG,SP,COMANDO DA AERONAUTICA,,1,2025-12
MG,RJ,COMANDO DA MARINHA,,1,2025-12
MG,DF,COMANDO DO EXERCITO,,74,2025-12
MG,RJ,COMISSAO DE VALORES MOBILIARIOS,,1,2025-12
MG,MG,COMISSAO NACIONAL DE ENERGIA NUCLEAR,,94,2025-12
MG,RJ,COMISSAO NACIONAL DE ENERGIA NUCLEAR,,10,2025-12
MG,DF,CONTROLADORIA-GERAL DA UNIAO,,10,2025-12
MG,MG,DEPARTAMENTO DE POLICIA FEDERAL,,108,2025-12
MG,DF,DEPARTAMENTO DE POLICIA FEDERAL,,1,2025-12
MG,RR,DEPARTAMENTO DE POLICIA FEDERAL,,1,2025-12
MG,MG,DEPARTAMENTO NAC.DE INFRAEST. DE TRANSP.,,20,2025-12
MG,MG,DEPTO. DE POLICIA RODOVIARIA FEDERAL,,84,2025-12
MG,SP,DEPTO. DE POLICIA RODOVIARIA FEDERAL,,1,2025-12
MG,RJ,DEPTO. DE POLICIA RODOVIARIA FEDERAL,,1,2025-12
MG,SC,DEPTO. DE POLICIA RODOVIARIA FEDERAL,,1,2025-12
MG,MG,DEPTO. NACIONAL DE OBRAS CONTRA AS SECAS,,2,2025-12
MG,MG,FUND. INST. BRASIL. GEOG. E ESTATISTICA,,31,2025-12
MG,RJ,FUND. INST. BRASIL. GEOG. E ESTATISTICA,,1,2025-12
MG,MG,FUND. UNIVERSIDADE DE SAO JOAO DEL REI,,63,2025-12
MG,SP,FUND.JORGE DUPRAT FIG. SEG. MED.TRABALHO,,1,2025-12
MG,MG,FUNDACAO NACIONAL DE SAUDE,,19,2025-12
MG,DF,FUNDACAO NACIONAL DE SAUDE,,2,2025-12
MG,DF,FUNDACAO NACIONAL DOS POVOS INDIGENAS,,3,2025-12
MG,MG,FUNDACAO OSWALDO CRUZ,,20,2025-12
MG,RJ,FUNDACAO OSWALDO CRUZ,,2,2025-12
MG,MG,FUNDACAO UNIV. FEDERAL DE OURO PRETO,UNIV,127,2025-12
MG,MG,FUNDACAO UNIV. FEDERAL DE UBERLANDIA,UNIV,542,2025-12
MG,DF,INST. BR. MEIO AMB. REC. NAT. RENOVAVEIS,,12,2025-12
MG,DF,INSTITUTO BRASILEIRO DE MUSEUS,,6,2025-12
MG,DF,INSTITUTO CHICO MENDES CONSERV.BIODIVER.,,9,2025-12
MG,DF,INSTITUTO DE PESQUISA ECONOMICA APLICADA,,1,2025-12
MG,DF,INSTITUTO DO PATR.HIST.E ART. NACIONAL,,7,2025-12
MG,MG,INSTITUTO FED. DO NORTE DE MINAS GERAIS,,48,2025-12
MG,MG,INSTITUTO FED.DO SUDESTE DE MINAS GERAIS,,56,2025-12
MG,GO,INSTITUTO FEDERAL DE GOIAS,IF,1,2025-12
MG,MG,INSTITUTO FEDERAL DE MINAS GERAIS,IF,86,2025-12
MG,PE,INSTITUTO FEDERAL DE PERNAMBUCO,IF,1,2025-12
MG,RR,INSTITUTO FEDERAL DE RORAIMA,IF,1,2025-12
MG,SP,INSTITUTO FEDERAL DE SAO PAULO,IF,3,2025-12
MG,ES,INSTITUTO FEDERAL DO ESPIRITO SANTO,IF,1,2025-12
MG,MG,INSTITUTO FEDERAL DO SUL DE MINAS GERAIS,IF,38,2025-12
MG,MG,INSTITUTO FEDERAL DO TRIANGULO MINEIRO,IF,46,2025-12
MG,MG,INSTITUTO NAC. DE COLONIZ E REF AGRARIA,,15,2025-12
MG,MG,INSTITUTO NACIONAL DE SEGURO SOCIAL,INSS,220,2025-12
MG,DF,INSTITUTO NACIONAL DE SEGURO SOCIAL,INSS,2,2025-12
MG,RJ,INSTITUTO NACIONAL DE SEGURO SOCIAL,INSS,2,2025-12
MG,DF,MIN GESTAO E INOV EM SERV PUBLICOS,,17,2025-12
MG,SP,MINISTERIO CIENCIA TECNOLOGIA INOVA,,2,2025-12
MG,MG,MINISTERIO CIENCIA TECNOLOGIA INOVA,,12,2025-12
MG,RJ,MINISTERIO CIENCIA TECNOLOGIA INOVA,,1,2025-12
MG,MG,MINISTERIO DA AGRICULTURA E PECUARIA,,66,2025-12
MG,DF,MINISTERIO DA AGRICULTURA E PECUARIA,,12,2025-12
MG,SP,MINISTERIO DA AGRICULTURA E PECUARIA,,1,2025-12
MG,DF,MINISTERIO DA CULTURA,,1,2025-12
MG,DF,MINISTERIO DA EDUCACAO,,1,2025-12
MG,DF,MINISTERIO DA FAZENDA,FAZ,51,2025-12
MG,MG,MINISTERIO DA FAZENDA,FAZ,276,2025-12
MG,SP,MINISTERIO DA FAZENDA,FAZ,7,2025-12
MG,RJ,MINISTERIO DA FAZENDA,FAZ,2,2025-12
MG,PR,MINISTERIO DA FAZENDA,FAZ,2,2025-12
MG,DF,MINISTERIO DA PESCA E AQUICULTURA,,1,2025-12
MG,DF,MINISTERIO DA PREVIDENCIA SOCIAL,,29,2025-12
MG,MG,MINISTERIO DA SAUDE,,360,2025-12
MG,DF,MINISTERIO DA SAUDE,,1,2025-12
MG,RJ,MINISTERIO DA SAUDE,,3,2025-12
MG,DF,MINISTERIO DAS CIDADES,,2,2025-12
MG,DF,MINISTERIO DAS COMUNICACOES,,1,2025-12
MG,DF,MINISTERIO DAS RELACOES EXTERIORES,,1,2025-12
MG,DF,MINISTERIO DO MEIO AMBIENTE,,1,2025-12
MG,DF,MINISTERIO DO PLANEJAMENTO E ORCAMENTO,,3,2025-12
MG,DF,MINISTERIO DO TRABALHO E EMPREGO,,74,2025-12
MG,DF,MINISTERIO DO TRABALHO E PREVIDENCIA,,1,2025-12
MG,DF,MINISTERIO DOS TRANSPORTES,,1,2025-12
MG,MG,UNI.FED.VALES DO JEQUITINHONHA E MUCURI,,46,2025-12
MG,MG,UNIVERSIDADE FED.DO TRIANGULO MINEIRO,,243,2025-12
MG,MG,UNIVERSIDADE FEDERAL DE ALFENAS,UNIV,48,2025-12
MG,PB,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,UNIV,1,2025-12
MG,GO,UNIVERSIDADE FEDERAL DE CATALAO,UNIV,1,2025-12
MG,MG,UNIVERSIDADE FEDERAL DE ITAJUBA,UNIV,56,2025-12
MG,MG,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UNIV,258,2025-12
MG,MG,UNIVERSIDADE FEDERAL DE LAVRAS,UNIV,82,2025-12
MG,MG,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UNIV,821,2025-12
MG,MG,UNIVERSIDADE FEDERAL DE VICOSA,UNIV,476,2025-12
MG,AC,UNIVERSIDADE FEDERAL DO ACRE,UNIV,1,2025-12
MG,RJ,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UNIV,5,2025-12
MS,DF,ADVOCACIA-GERAL DA UNIAO,,9,2025-12
MS,DF,AGENCIA BRASILEIRA DE INTELIGENCIA,,2,2025-12
MS,DF,AGENCIA NACIONAL DE MINERACAO,,4,2025-12
MS,DF,AGENCIA NACIONAL DE TELECOMUNICACOES,,1,2025-12
MS,MS,AGENCIA NACIONAL DE VIGILANCIA SANITARIA,,7,2025-12
MS,DF,COMANDO DA AERONAUTICA,,1,2025-12
MS,MS,COMANDO DA MARINHA,,5,2025-12
MS,DF,COMANDO DO EXERCITO,,34,2025-12
MS,DF,CONTROLADORIA-GERAL DA UNIAO,,1,2025-12
MS,MS,DEPARTAMENTO DE POLICIA FEDERAL,,40,2025-12
MS,DF,DEPARTAMENTO DE POLICIA FEDERAL,,1,2025-12
MS,ES,DEPARTAMENTO DE POLICIA FEDERAL,,1,2025-12
MS,MS,DEPARTAMENTO NAC.DE INFRAEST. DE TRANSP.,,8,2025-12
MS,MS,DEPTO. DE POLICIA RODOVIARIA FEDERAL,,43,2025-12
MS,SP,FUND. INST. BRASIL. GEOG. E ESTATISTICA,,13,2025-12
MS,MS,FUND. UNIV FEDERAL DA GRANDE DOURADOS,UNIV,35,2025-12
MS,MS,FUNDACAO NACIONAL DE SAUDE,,9,2025-12
MS,DF,FUNDACAO NACIONAL DOS POVOS INDIGENAS,,10,2025-12
MS,RJ,FUNDACAO OSWALDO CRUZ,,1,2025-12
MS,DF,INST. BR. MEIO AMB. REC. NAT. RENOVAVEIS,,8,2025-12
MS,MS,INSTITUTO FEDERAL DE MATO GROSSO DO SUL,IF,4,2025-12
MS,MS,INSTITUTO NAC. DE COLONIZ E REF AGRARIA,,23,2025-12
MS,DF,INSTITUTO NACIONAL DE SEGURO SOCIAL,INSS,53,2025-12
MS,MG,INSTITUTO NACIONAL DE SEGURO SOCIAL,INSS,2,2025-12
MS,DF,MIN GESTAO E INOV EM SERV PUBLICOS,,7,2025-12
MS,DF,MINIST. DA JUSTICA E SEGURANCA PUBLICA,,3,2025-12
MS,MS,MINISTERIO DA AGRICULTURA E PECUARIA,,31,2025-12
MS,DF,MINISTERIO DA AGRICULTURA E PECUARIA,,2,2025-12
MS,DF,MINISTERIO DA FAZENDA,FAZ,55,2025-12
MS,MG,MINISTERIO DA FAZENDA,FAZ,1,2025-12
MS,DF,MINISTERIO DA PREVIDENCIA SOCIAL,,1,2025-12
MS,MS,MINISTERIO DA SAUDE,,127,2025-12
MS,DF,MINISTERIO DAS COMUNICACOES,,1,2025-12
MS,DF,MINISTERIO DO TRABALHO E EMPREGO,,15,2025-12
MS,MS,UNIV. FEDERAL DE MATO GROSSO DO SUL,UNIV,301,2025-12
MS,PR,UNIVERSIDADE FEDERAL DO PARANA,UNIV,1,2025-12
MT,DF,ADVOCACIA-GERAL DA UNIAO,,7,2025-12
MT,DF,AGENCIA NAC. DE TRANSPORTES TERRESTRES,,1,2025-12
MT,DF,AGENCIA NACIONAL DE MINERACAO,,13,2025-12
MT,DF,AGENCIA NACIONAL DE TELECOMUNICACOES,,1,2025-12
MT,MT,AGENCIA NACIONAL DE VIGILANCIA SANITARIA,,2,2025-12
MT,DF,COMANDO DO EXERCITO,,5,2025-12
MT,DF,CONTROLADORIA-GERAL DA UNIAO,,2,2025-12
MT,MT,DEPARTAMENTO DE POLICIA FEDERAL,,19,2025-12
MT,DF,DEPARTAMENTO DE POLICIA FEDERAL,,1,2025-12
MT,MT,DEPARTAMENTO NAC.DE INFRAEST. DE TRANSP.,,12,2025-12
MT,GO,DEPARTAMENTO NAC.DE INFRAEST. DE TRANSP.,,1,2025-12
MT,MT,DEPTO. DE POLICIA RODOVIARIA FEDERAL,,60,2025-12
MT,GO,FUND. INST. BRASIL. GEOG. E ESTATISTICA,,9,2025-12
MT,MT,FUNDACAO NACIONAL DE SAUDE,,12,2025-12
MT,DF,FUNDACAO NACIONAL DOS POVOS INDIGENAS,,26,2025-12
MT,DF,INST. BR. MEIO AMB. REC. NAT. RENOVAVEIS,,10,2025-12
MT,DF,INSTITUTO CHICO MENDES CONSERV.BIODIVER.,,1,2025-12
MT,MT,INSTITUTO FEDERAL DE MATO GROSSO,IF,64,2025-12
MT,MT,INSTITUTO NAC. DE COLONIZ E REF AGRARIA,,51,2025-12
MT,DF,INSTITUTO NACIONAL DE SEGURO SOCIAL,INSS,42,2025-12
MT,DF,MIN GESTAO E INOV EM SERV PUBLICOS,,5,2025-12
MT,SP,MINISTERIO CIENCIA TECNOLOGIA INOVA,,1,2025-12
MT,MT,MINISTERIO DA AGRICULTURA E PECUARIA,,14,2025-12
MT,DF,MINISTERIO DA AGRICULTURA E PECUARIA,,3,2025-12
MT,BA,MINISTERIO DA AGRICULTURA E PECUARIA,,1,2025-12
MT,DF,MINISTERIO DA FAZENDA,FAZ,35,2025-12
MT,RJ,MINISTERIO DA FAZENDA,FAZ,1,2025-12
MT,DF,MINISTERIO DA PREVIDENCIA SOCIAL,,2,2025-12
MT,MT,MINISTERIO DA SAUDE,,93,2025-12
MT,GO,MINISTERIO DA SAUDE,,3,2025-12
MT,DF,MINISTERIO DA SAUDE,,1,2025-12
MT,DF,MINISTERIO DAS COMUNICACOES,,1,2025-12
MT,DF,MINISTERIO DO TRABALHO E EMPREGO,,14,2025-12
MT,RJ,SUPERINTENDENCIA DE SEGUROS PRIVADOS,,1,2025-12
MT,MT,UNIVERSIDADE FEDERAL DE MATO GROSSO,UNIV,307,2025-12
MT,MT,UNIVERSIDADE FEDERAL DE RONDONOPOLIS,UNIV,14,2025-12
PA,DF,ADVOCACIA-GERAL DA UNIAO,,22,2025-12
PA,DF,AGENCIA BRASILEIRA DE INTELIGENCIA,,4,2025-12
PA,DF,AGENCIA NAC. DE TRANSPORTES AQUAVIARIOS,,2,2025-12
PA,DF,AGENCIA NAC. DE TRANSPORTES TERRESTRES,,4,2025-12
PA,DF,AGENCIA NACIONAL DE AVIACAO CIVIL,,2,2025-12
PA,DF,AGENCIA NACIONAL DE MINERACAO,,11,2025-12
PA,RJ,AGENCIA NACIONAL DE SAUDE SUPLEMENTAR,,1,2025-12
PA,DF,AGENCIA NACIONAL DE TELECOMUNICACOES,,2,2025-12
PA,PA,AGENCIA NACIONAL DE VIGILANCIA SANITARIA,,7,2025-12
PA,DF,COMANDO DA AERONAUTICA,,123,2025-12
PA,PA,COMANDO DA MARINHA,,68,2025-12
PA,RJ,COMANDO DA MARINHA,,1,2025-12
PA,DF,COMANDO DO EXERCITO,,51,2025-12
PA,DF,CONTROLADORIA-GERAL DA UNIAO,,5,2025-12
PA,PA,DEPARTAMENTO DE POLICIA FEDERAL,,46,2025-12
PA,DF,DEPARTAMENTO DE POLICIA FEDERAL,,1,2025-12
PA,PA,DEPARTAMENTO NAC.DE INFRAEST. DE TRANSP.,,9,2025-12
PA,PA,DEPTO. DE POLICIA RODOVIARIA FEDERAL,,61,2025-12
PA,MA,DEPTO. DE POLICIA RODOVIARIA FEDERAL,,3,2025-12
PA,PA,FUND. INST. BRASIL. GEOG. E ESTATISTICA,,34,2025-12
PA,SP,FUND.JORGE DUPRAT FIG. SEG. MED.TRABALHO,,1,2025-12
PA,PA,FUNDACAO NACIONAL DE SAUDE,,61,2025-12
PA,DF,FUNDACAO NACIONAL DE SAUDE,,1,2025-12
PA,DF,FUNDACAO NACIONAL DOS POVOS INDIGENAS,,24,2025-12
PA,DF,INST. BR. MEIO AMB. REC. NAT. RENOVAVEIS,,29,2025-12
PA,DF,INSTITUTO CHICO MENDES CONSERV.BIODIVER.,,10,2025-12
PA,AM,INSTITUTO FEDERAL DO AMAZONAS,IF,1,2025-12
PA,PA,INSTITUTO FEDERAL DO PARA,IF,122,2025-12
PA,PA,INSTITUTO NAC. DE COLONIZ E REF AGRARIA,,67,2025-12
PA,GO,INSTITUTO NAC. DE COLONIZ E REF AGRARIA,,1,2025-12
PA,DF,INSTITUTO NACIONAL DE SEGURO SOCIAL,INSS,111,2025-12
PA,PE,INSTITUTO NACIONAL DE SEGURO SOCIAL,INSS,1,2025-12
PA,DF,MIN DA INTEG E DO DESENV REGIONAL,,10,2025-12
PA,DF,MIN GESTAO E INOV EM SERV PUBLICOS,,24,2025-12
PA,PA,MIN GESTAO E INOV EM SERV PUBLICOS,,2,2025-12
PA,PA,MINISTERIO CIENCIA TECNOLOGIA INOVA,,56,2025-12
PA,AM,MINISTERIO CIENCIA TECNOLOGIA INOVA,,2,2025-12
PA,RJ,MINISTERIO CIENCIA TECNOLOGIA INOVA,,1,2025-12
PA,DF,MINISTERIO DA AGRICULTURA E PECUARIA,,17,2025-12
PA,PA,MINISTERIO DA AGRICULTURA E PECUARIA,,63,2025-12
PA,BA,MINISTERIO DA AGRICULTURA E PECUARIA,,39,2025-12
PA,PA,MINISTERIO DA FAZENDA,FAZ,106,2025-12
PA,DF,MINISTERIO DA FAZENDA,FAZ,18,2025-12
PA,SP,MINISTERIO DA FAZENDA,FAZ,1,2025-12
PA,PR,MINISTERIO DA FAZENDA,FAZ,1,2025-12
PA,DF,MINISTERIO DA PREVIDENCIA SOCIAL,,10,2025-12
PA,PA,MINISTERIO DA SAUDE,,598,2025-12
PA,DF,MINISTERIO DA SAUDE,,3,2025-12
PA,AP,MINISTERIO DA SAUDE,,3,2025-12
