uf,grupo_nucleo,n_ativos,ano
SE,IF,1509,2015
ES,INSS,591,2015
AC,,508,2015
RR,IF,586,2015
MA,UNIV,3242,2015
DF,INSS,430,2015
AL,INSS,524,2015
RN,INSS,242,2015
AL,,869,2015
CE,INSS,1149,2015
GO,INSS,619,2015
RS,INSS,1638,2015
AC,IF,577,2015
PR,IF,1852,2015
SP,IBGE,330,2015
TO,INSS,76,2015
MG,IBGE,273,2015
PB,INSS,594,2015
DF,IF,927,2015
AL,IBGE,50,2015
SE,INSS,264,2015
AC,INSS,15,2015
AM,INSS,292,2015
PR,INSS,1317,2015
RO,INSS,175,2015
PE,IBGE,71,2015
RS,IBGE,128,2015
MS,IF,706,2015
GO,IBGE,68,2015
PR,IBGE,142,2015
SC,IBGE,74,2015
AP,IF,335,2015
AP,INSS,60,2015
SE,IBGE,40,2015
PB,IBGE,61,2015
RO,IBGE,22,2015
RN,IBGE,33,2015
TO,IBGE,26,2015
AM,IBGE,29,2015
CE,IBGE,101,2015
DF,IBGE,24,2015
PI,IBGE,47,2015
MA,IBGE,72,2015
AC,IBGE,9,2015
BA,IF,10,2015
MS,IBGE,49,2015
RR,INSS,9,2015
RR,IBGE,9,2015
AP,IBGE,2,2015
CE,IF,2865,2016
PA,UNIV,6722,2016
PB,,3310,2016
,,161790,2016
AP,,1504,2016
PI,IF,3610,2016
RR,UNIV,973,2016
MG,UNIV,23216,2016
MS,UNIV,4772,2016
DF,,2577,2016
GO,UNIV,5095,2016
MS,,1044,2016
,UNIV,23642,2016
DF,UNIV,5310,2016
,IF,2076,2016
RS,,4321,2016
SP,UNIV,6787,2016
MT,IF,1778,2016
GO,IF,1972,2016
SC,UNIV,5922,2016
CE,UNIV,5981,2016
GO,,1605,2016
PE,IF,2281,2016
PB,UNIV,9262,2016
PE,,2932,2016
CE,,2339,2016
AL,UNIV,3220,2016
ES,IF,2765,2016
RN,UNIV,5497,2016
MG,,4124,2016
SP,INSS,4846,2016
TO,,702,2016
MA,INSS,513,2016
RN,,829,2016
MA,UNIV,3426,2016
SC,,3194,2016
MT,UNIV,3399,2016
BA,UNIV,8254,2016
