uf,grupo_nucleo,n_ativos,ano
RJ,IF,2057,2022
AL,IF,1836,2022
RJ,INSS,870,2022
,IBGE,2493,2022
RS,IF,3063,2022
PI,UNIV,3581,2022
PR,UNIV,9108,2022
MT,UNIV,3260,2022
RS,,3181,2022
AC,IF,725,2022
PE,UNIV,8653,2022
MA,UNIV,3420,2022
PR,,1682,2022
,INSS,6195,2022
AM,UNIV,3224,2022
GO,,968,2022
,UNIV,24114,2022
AM,,1025,2022
RJ,IBGE,72,2022
SP,,3955,2022
DF,IF,1196,2022
AC,UNIV,1432,2022
RN,IF,2652,2022
PE,,1686,2022
TO,IF,1214,2022
RO,,671,2022
RO,IF,1214,2022
RJ,,3239,2022
PA,,1355,2022
ES,IBGE,34,2022
RJ,UNIV,17470,2022
PE,INSS,590,2022
MT,,813,2022
SP,INSS,2552,2022
SP,IF,4626,2022
RN,UNIV,5270,2022
PR,IF,2347,2022
AM,IF,1696,2022
MG,INSS,1395,2022
PA,INSS,238,2022
CE,,1455,2022
AL,,593,2022
SC,INSS,629,2022
TO,UNIV,1996,2022
AC,,231,2022
PI,,1595,2022
RR,UNIV,982,2022
SE,IF,1283,2022
MG,IBGE,213,2022
AL,INSS,248,2022
MA,INSS,401,2022
RR,IF,629,2022
ES,,702,2022
AP,UNIV,1186,2022
ES,UNIV,3659,2022
MA,,980,2022
BA,INSS,1044,2022
MS,IF,1171,2022
CE,INSS,669,2022
MS,INSS,113,2022
MS,,693,2022
RN,INSS,132,2022
SP,IBGE,211,2022
TO,INSS,81,2022
SC,IF,2598,2022
ES,INSS,240,2022
PA,IBGE,61,2022
GO,INSS,361,2022
RS,INSS,978,2022
AP,IF,590,2022
RR,,406,2022
AL,IBGE,30,2022
DF,INSS,156,2022
PI,INSS,278,2022
AM,INSS,136,2022
SE,,507,2022
SE,INSS,133,2022
PR,INSS,753,2022
TO,,492,2022
MT,INSS,173,2022
PB,INSS,256,2022
BA,IBGE,147,2022
GO,IBGE,51,2022
PB,IBGE,45,2022
PR,IBGE,120,2022
RS,IBGE,91,2022
SC,IBGE,65,2022
SE,IBGE,24,2022
MA,IBGE,52,2022
MT,IBGE,26,2022
RN,IBGE,35,2022
RO,INSS,67,2022
AP,INSS,33,2022
AM,IBGE,28,2022
MS,IBGE,31,2022
PE,IBGE,61,2022
CE,IBGE,59,2022
DF,IBGE,16,2022
PI,IBGE,43,2022
RO,IBGE,18,2022
RR,INSS,26,2022
TO,IBGE,16,2022
AC,IBGE,6,2022
AP,IBGE,3,2022
BA,IF,9,2022
AC,INSS,3,2022
RR,IBGE,2,2022
CE,IF,3680,2023
PA,UNIV,7817,2023
PB,,3294,2023
,,49062,2023
DF,,19755,2023
PI,IF,2699,2023
RJ,UNIV,22835,2023
SE,UNIV,2831,2023
MG,UNIV,25365,2023
MS,UNIV,4648,2023
GO,UNIV,4870,2023
DF,UNIV,6295,2023
PA,,2439,2023
MS,,861,2023
MG,IF,8154,2023
MT,IF,1926,2023
GO,IF,2024,2023
AL,UNIV,3213,2023
SC,UNIV,5889,2023
CE,UNIV,6178,2023
PE,IF,2770,2023
BA,,6488,2023
BA,UNIV,8619,2023
SP,FAZ,4151,2023
PB,UNIV,8494,2023
PR,UNIV,9450,2023
ES,IF,2845,2023
MG,,3235,2023
,FAZ,2971,2023
RN,,817,2023
SC,,3267,2023
CE,FAZ,561,2023
RO,,869,2023
RS,UNIV,15964,2023
,IF,839,2023
RJ,,25350,2023
RO,UNIV,1234,2023
PA,IF,2204,2023
MA,IF,3159,2023
RS,,4628,2023
RJ,IF,4413,2023
AL,IF,693,2023
RJ,INSS,1365,2023
RJ,IBGE,893,2023
RS,IF,2569,2023
PI,UNIV,3088,2023
MT,UNIV,3235,2023
AC,IF,701,2023
DF,IF,3735,2023
PE,UNIV,8610,2023
PE,FAZ,641,2023
MA,UNIV,3390,2023
PR,,1621,2023
,INSS,1489,2023
AM,UNIV,3149,2023
GO,,1942,2023
SP,UNIV,8559,2023
PE,INSS,1365,2023
CE,,1766,2023
AC,UNIV,1352,2023
AM,IF,1809,2023
RN,UNIV,6331,2023
RN,IF,2626,2023
DF,FAZ,2405,2023
TO,IF,1211,2023
ES,IBGE,53,2023
AP,,456,2023
AM,,1501,2023
,UNIV,4388,2023
MT,FAZ,123,2023
SP,,5845,2023
SP,INSS,3427,2023
SP,IF,4523,2023
,IBGE,800,2023
PR,IF,2461,2023
MG,INSS,1801,2023
PA,INSS,453,2023
AL,,555,2023
SC,INSS,1005,2023
RR,,560,2023
MA,INSS,490,2023
PE,,2514,2023
TO,UNIV,1866,2023
AL,FAZ,118,2023
PI,,1629,2023
AP,UNIV,1079,2023
RR,UNIV,963,2023
SE,IF,1151,2023
MG,IBGE,256,2023
AL,INSS,282,2023
MS,IF,1178,2023
PR,FAZ,1435,2023
SE,,548,2023
RR,IF,689,2023
ES,FAZ,251,2023
SC,FAZ,572,2023
ES,UNIV,3598,2023
MT,,826,2023
RJ,FAZ,2096,2023
PA,FAZ,525,2023
AC,,390,2023
MA,,1104,2023
BA,INSS,1223,2023
RN,INSS,266,2023
MS,FAZ,211,2023
CE,INSS,795,2023
MG,FAZ,1440,2023
MS,INSS,197,2023
RS,IBGE,135,2023
RS,FAZ,1302,2023
GO,FAZ,320,2023
SP,IBGE,281,2023
TO,INSS,102,2023
SC,IF,2582,2023
ES,,772,2023
MT,IBGE,45,2023
ES,INSS,275,2023
GO,INSS,391,2023
RS,INSS,1136,2023
BA,FAZ,777,2023
AP,IF,577,2023
RR,FAZ,70,2023
AL,IBGE,46,2023
DF,INSS,726,2023
SE,INSS,196,2023
PI,INSS,339,2023
AM,INSS,192,2023
PB,INSS,314,2023
PR,INSS,806,2023
PB,FAZ,175,2023
TO,,420,2023
AP,FAZ,69,2023
MT,INSS,215,2023
AP,IBGE,15,2023
BA,IBGE,180,2023
RO,IBGE,21,2023
GO,IBGE,89,2023
SE,FAZ,124,2023
AM,FAZ,241,2023
RO,FAZ,148,2023
MA,FAZ,110,2023
PR,IBGE,143,2023
AC,IBGE,15,2023
RN,FAZ,173,2023
SC,IBGE,107,2023
PI,FAZ,130,2023
SE,IBGE,39,2023
RO,INSS,104,2023
MA,IBGE,71,2023
PB,IBGE,69,2023
RO,IF,153,2023
TO,FAZ,53,2023
RN,IBGE,54,2023
MS,IBGE,52,2023
PA,IBGE,85,2023
AP,INSS,49,2023
DF,IBGE,73,2023
AM,IBGE,40,2023
AC,INSS,53,2023
AC,FAZ,41,2023
CE,IBGE,115,2023
PE,IBGE,99,2023
PI,IBGE,51,2023
RR,INSS,48,2023
RR,IBGE,14,2023
TO,IBGE,25,2023
BA,IF,2,2023
CE,IF,3693,2024
PA,UNIV,7854,2024
PB,,3409,2024
,,39662,2024
DF,,22420,2024
PI,IF,2641,2024
RJ,UNIV,22837,2024
SE,UNIV,2904,2024
MG,UNIV,25455,2024
MS,UNIV,4626,2024
GO,UNIV,4988,2024
DF,UNIV,6148,2024
PA,,2667,2024
PR,,1824,2024
,IF,394,2024
GO,IF,2017,2024
AL,UNIV,3207,2024
SC,UNIV,5883,2024
CE,UNIV,6161,2024
PE,IF,3042,2024
BA,,6850,2024
BA,UNIV,8860,2024
SP,FAZ,4158,2024
PB,UNIV,8528,2024
PR,UNIV,9598,2024
ES,IF,2874,2024
MG,,3586,2024
SP,,6540,2024
,FAZ,2300,2024
RN,,808,2024
CE,FAZ,595,2024
SC,,3430,2024
RO,,854,2024
RS,UNIV,16078,2024
RO,UNIV,1330,2024
RJ,,25425,2024
MG,IF,8164,2024
DF,IF,3684,2024
MA,IF,3156,2024
RJ,IF,5095,2024
AL,IF,725,2024
RJ,IBGE,849,2024
RS,IF,2272,2024
PI,UNIV,3179,2024
MT,UNIV,3278,2024
RS,,5149,2024
AC,IF,722,2024
PA,IF,2403,2024
PA,FAZ,480,2024
PE,UNIV,8657,2024
PE,FAZ,663,2024
MA,UNIV,3389,2024
,INSS,1297,2024
AM,UNIV,3162,2024
GO,,2227,2024
SP,UNIV,8461,2024
PE,INSS,1345,2024
CE,,1850,2024
MG,FAZ,1506,2024
AC,UNIV,1361,2024
MS,INSS,203,2024
RN,UNIV,6222,2024
RN,IF,2671,2024
DF,FAZ,2968,2024
MA,,1118,2024
PE,,2960,2024
TO,IF,1198,2024
ES,IBGE,52,2024
MT,IF,1916,2024
MT,FAZ,107,2024
SP,INSS,3357,2024
SP,IF,4542,2024
CE,IBGE,113,2024
PR,IF,2504,2024
RJ,INSS,1354,2024
AM,IF,1812,2024
MG,INSS,1732,2024
PA,INSS,450,2024
AL,,607,2024
SC,INSS,996,2024
RR,,639,2024
TO,UNIV,1937,2024
AL,FAZ,100,2024
PI,,1749,2024
AP,UNIV,1082,2024
RR,UNIV,989,2024
AM,,1512,2024
SE,IF,1183,2024
MG,IBGE,234,2024
AL,INSS,275,2024
MS,IF,1158,2024
PR,FAZ,1398,2024
MA,INSS,490,2024
RR,IF,694,2024
ES,FAZ,237,2024
SC,FAZ,599,2024
ES,UNIV,3569,2024
MT,,821,2024
RJ,FAZ,2134,2024
AC,,397,2024
BA,INSS,1230,2024
RN,INSS,264,2024
AP,,518,2024
MS,FAZ,221,2024
CE,INSS,784,2024
RS,FAZ,1354,2024
MS,,932,2024
,IBGE,794,2024
GO,FAZ,292,2024
SP,IBGE,257,2024
TO,INSS,102,2024
MA,IBGE,70,2024
SC,IF,2649,2024
ES,,885,2024
ES,INSS,264,2024
,UNIV,3991,2024
GO,INSS,400,2024
RS,INSS,1126,2024
TO,,430,2024
SE,,490,2024
AP,IF,612,2024
RR,FAZ,84,2024
AL,IBGE,38,2024
DF,INSS,728,2024
PI,INSS,334,2024
AM,INSS,203,2024
PB,INSS,317,2024
SE,INSS,196,2024
PR,INSS,778,2024
PB,FAZ,152,2024
AP,FAZ,66,2024
MT,INSS,224,2024
AP,IBGE,21,2024
BA,FAZ,778,2024
BA,IBGE,177,2024
PA,IBGE,87,2024
GO,IBGE,77,2024
SE,FAZ,117,2024
RS,IBGE,122,2024
AM,FAZ,276,2024
RO,FAZ,144,2024
RO,IF,168,2024
PR,IBGE,144,2024
AC,IBGE,17,2024
RN,FAZ,155,2024
SC,IBGE,102,2024
PI,FAZ,137,2024
SE,IBGE,39,2024
RO,INSS,121,2024
PB,IBGE,53,2024
RO,IBGE,23,2024
MA,FAZ,104,2024
MT,IBGE,46,2024
TO,FAZ,52,2024
RN,IBGE,53,2024
MS,IBGE,55,2024
AP,INSS,50,2024
AM,IBGE,34,2024
AC,INSS,68,2024
PE,IBGE,92,2024
AC,FAZ,38,2024
DF,IBGE,58,2024
PI,IBGE,55,2024
RR,INSS,53,2024
TO,IBGE,24,2024
RR,IBGE,10,2024
BA,IF,4,2024
CE,IF,3625,2025
PA,UNIV,7930,2025
PB,,3486,2025
,,32701,2025
DF,,28502,2025
PI,IF,2614,2025
RJ,UNIV,22442,2025
SE,UNIV,2949,2025
MG,UNIV,27015,2025
MS,UNIV,4615,2025
GO,UNIV,5037,2025
DF,UNIV,6211,2025
PA,,2772,2025
PR,,1897,2025
MG,IF,8309,2025
GO,IF,2000,2025
AL,UNIV,3188,2025
SC,UNIV,5836,2025
CE,UNIV,6316,2025
PE,IF,3024,2025
RR,,644,2025
BA,UNIV,8613,2025
,FAZ,1758,2025
PB,UNIV,8669,2025
RN,,867,2025
PR,UNIV,9596,2025
ES,IF,2929,2025
MG,,3666,2025
SP,,7088,2025
CE,FAZ,614,2025
BA,,6957,2025
DF,FAZ,3615,2025
RO,,880,2025
RS,UNIV,16192,2025
,IF,303,2025
RO,UNIV,1337,2025
RJ,,25621,2025
DF,IF,3679,2025
MA,IF,3119,2025
RJ,IF,5126,2025
MG,INSS,1726,2025
AL,IF,724,2025
RS,IF,2304,2025
PI,UNIV,3156,2025
MT,UNIV,3289,2025
RS,,5336,2025
AC,IF,796,2025
PA,IF,2392,2025
PE,UNIV,8849,2025
PE,FAZ,668,2025
MA,UNIV,3373,2025
SC,,3477,2025
SC,INSS,970,2025
AM,UNIV,3140,2025
GO,,2520,2025
RJ,IBGE,994,2025
SP,UNIV,8436,2025
PE,INSS,1275,2025
MG,FAZ,1469,2025
AC,UNIV,1379,2025
MS,INSS,207,2025
RN,UNIV,6252,2025
RN,IF,2644,2025
MA,,1271,2025
PE,,3122,2025
TO,IF,1231,2025
MT,IF,1961,2025
AM,,1675,2025
RJ,FAZ,2133,2025
TO,UNIV,1968,2025
SP,FAZ,4138,2025
SP,INSS,3260,2025
SP,IF,4572,2025
CE,IBGE,120,2025
PR,IF,2546,2025
RJ,INSS,1320,2025
AM,IF,1800,2025
PA,INSS,450,2025
AL,,670,2025
,IBGE,696,2025
,UNIV,2248,2025
MA,INSS,472,2025
AL,FAZ,90,2025
PI,,1744,2025
AP,UNIV,1105,2025
RR,UNIV,994,2025
SE,IF,1339,2025
AL,INSS,263,2025
MS,IF,1176,2025
PR,FAZ,1392,2025
SE,,515,2025
RR,IF,763,2025
ES,FAZ,225,2025
CE,,1912,2025
ES,UNIV,3551,2025
PA,FAZ,471,2025
AC,,413,2025
BA,INSS,1188,2025
RN,INSS,258,2025
AP,,522,2025
MS,FAZ,240,2025
,INSS,1121,2025
CE,INSS,780,2025
RS,FAZ,1362,2025
MS,,996,2025
SC,FAZ,604,2025
TO,INSS,104,2025
MA,IBGE,82,2025
SC,IF,2660,2025
ES,,933,2025
AP,IF,685,2025
DF,INSS,795,2025
MT,IBGE,53,2025
MT,,878,2025
ES,INSS,250,2025
GO,INSS,391,2025
RS,INSS,1097,2025
RR,FAZ,87,2025
AL,IBGE,55,2025
PI,INSS,336,2025
SE,IBGE,42,2025
AM,INSS,199,2025
PB,INSS,308,2025
SE,INSS,178,2025
PR,INSS,780,2025
MG,IBGE,267,2025
SP,IBGE,295,2025
PB,FAZ,165,2025
GO,FAZ,278,2025
PB,IBGE,69,2025
AP,FAZ,67,2025
ES,IBGE,58,2025
BA,FAZ,750,2025
BA,IBGE,208,2025
PA,IBGE,97,2025
GO,IBGE,99,2025
SE,FAZ,116,2025
RS,IBGE,136,2025
AM,FAZ,277,2025
MT,INSS,230,2025
TO,,460,2025
PR,IBGE,147,2025
AM,IBGE,42,2025
RN,FAZ,149,2025
SC,IBGE,122,2025
RO,FAZ,142,2025
PI,FAZ,124,2025
MT,FAZ,118,2025
RO,INSS,120,2025
AC,IBGE,17,2025
RO,IF,162,2025
AP,IBGE,23,2025
RO,IBGE,26,2025
RN,IBGE,66,2025
MA,FAZ,94,2025
TO,FAZ,42,2025
MS,IBGE,69,2025
AP,INSS,56,2025
PE,IBGE,109,2025
DF,IBGE,75,2025
AC,FAZ,50,2025
AC,INSS,59,2025
PI,IBGE,65,2025
RR,INSS,59,2025
TO,IBGE,31,2025
RR,IBGE,15,2025
BA,IF,2,2025
