ano,uf,n_ativos,lente,publicavel,populacao,A_raw,janela
2025,PE,11873,educacao,True,9562007.0,12.42,2023-2025
2014,PI,6425,educacao,True,3194718.0,20.11,2014-2022
2015,PI,6773,educacao,True,3204028.0,21.14,2014-2022
2016,PI,7116,educacao,True,3212180.0,22.15,2014-2022
2017,PI,7485,educacao,True,3219257.0,23.25,2014-2022
2018,PI,7745,educacao,True,3264531.0,23.72,2014-2022
2019,PI,7788,educacao,True,3273227.0,23.79,2014-2022
2020,PI,7829,educacao,True,3281480.0,23.86,2014-2022
2021,PI,7853,educacao,True,3289290.0,23.87,2014-2022
2022,PI,7790,educacao,True,,,2014-2022
2023,PI,5787,educacao,True,,,2023-2025
2024,PI,5820,educacao,True,3375646.0,17.24,2023-2025
2025,PI,5770,educacao,True,3384547.0,17.05,2023-2025
2014,PR,11069,educacao,True,11081692.0,9.99,2014-2022
2015,PR,11615,educacao,True,11163018.0,10.4,2014-2022
2016,PR,11755,educacao,True,11242720.0,10.46,2014-2022
2017,PR,11768,educacao,True,11320892.0,10.39,2014-2022
2018,PR,11775,educacao,True,11348937.0,10.38,2014-2022
2019,PR,11609,educacao,True,11433957.0,10.15,2014-2022
2020,PR,11422,educacao,True,11516840.0,9.92,2014-2022
2021,PR,11291,educacao,True,11597484.0,9.74,2014-2022
2022,PR,11455,educacao,True,,,2014-2022
2023,PR,11911,educacao,True,,,2023-2025
2024,PR,12102,educacao,True,11824665.0,10.23,2023-2025
2025,PR,12142,educacao,True,11890517.0,10.21,2023-2025
2014,RJ,19814,educacao,True,16461173.0,12.04,2014-2022
2015,RJ,19800,educacao,True,16550024.0,11.96,2014-2022
2016,RJ,20391,educacao,True,16635996.0,12.26,2014-2022
2017,RJ,20542,educacao,True,16718956.0,12.29,2014-2022
2018,RJ,20861,educacao,True,17159960.0,12.16,2014-2022
2019,RJ,20357,educacao,True,17264943.0,11.79,2014-2022
2020,RJ,20037,educacao,True,17366189.0,11.54,2014-2022
2021,RJ,19786,educacao,True,17463349.0,11.33,2014-2022
2022,RJ,19527,educacao,True,,,2014-2022
2023,RJ,27248,educacao,True,,,2023-2025
2024,RJ,27932,educacao,True,17219679.0,16.22,2023-2025
2025,RJ,27568,educacao,True,17223547.0,16.01,2023-2025
2014,RN,7764,educacao,True,3408510.0,22.78,2014-2022
2015,RN,7855,educacao,True,3442175.0,22.82,2014-2022
2016,RN,8008,educacao,True,3474998.0,23.04,2014-2022
2017,RN,7839,educacao,True,3507003.0,22.35,2014-2022
2018,RN,8023,educacao,True,3479010.0,23.06,2014-2022
2019,RN,7962,educacao,True,3506853.0,22.7,2014-2022
2020,RN,7986,educacao,True,3534165.0,22.6,2014-2022
2021,RN,8000,educacao,True,3560903.0,22.47,2014-2022
2022,RN,7922,educacao,True,,,2014-2022
2023,RN,8957,educacao,True,,,2023-2025
2024,RN,8893,educacao,True,3446071.0,25.81,2023-2025
2025,RN,8896,educacao,True,3455236.0,25.75,2023-2025
2014,RO,1935,educacao,True,1748531.0,11.07,2014-2022
2015,RO,2025,educacao,True,1768204.0,11.45,2014-2022
2016,RO,2158,educacao,True,1787279.0,12.07,2014-2022
2017,RO,2227,educacao,True,1805788.0,12.33,2014-2022
2018,RO,2315,educacao,True,1757589.0,13.17,2014-2022
2019,RO,2345,educacao,True,1777225.0,13.19,2014-2022
2020,RO,2442,educacao,True,1796460.0,13.59,2014-2022
2021,RO,2432,educacao,True,1815278.0,13.4,2014-2022
2022,RO,2470,educacao,True,,,2014-2022
2023,RO,1387,educacao,True,,,2023-2025
2024,RO,1498,educacao,True,1746227.0,8.58,2023-2025
2025,RO,1499,educacao,True,1751950.0,8.56,2023-2025
2014,RR,1480,educacao,True,496936.0,29.78,2014-2022
2015,RR,1530,educacao,True,505665.0,30.26,2014-2022
2016,RR,1632,educacao,True,514229.0,31.74,2014-2022
2017,RR,1645,educacao,True,522636.0,31.48,2014-2022
2018,RR,1642,educacao,True,576568.0,28.48,2014-2022
2019,RR,1633,educacao,True,605761.0,26.96,2014-2022
2020,RR,1580,educacao,True,631181.0,25.03,2014-2022
2021,RR,1601,educacao,True,652713.0,24.53,2014-2022
2022,RR,1611,educacao,True,,,2014-2022
2023,RR,1652,educacao,True,,,2023-2025
2024,RR,1683,educacao,True,716793.0,23.48,2023-2025
2025,RR,1757,educacao,True,738772.0,23.78,2023-2025
2014,RS,13546,educacao,True,11207274.0,12.09,2014-2022
2015,RS,13828,educacao,True,11247972.0,12.29,2014-2022
2016,RS,13716,educacao,True,11286500.0,12.15,2014-2022
2017,RS,13819,educacao,True,11322895.0,12.2,2014-2022
2018,RS,13970,educacao,True,11329605.0,12.33,2014-2022
2019,RS,13882,educacao,True,11377239.0,12.2,2014-2022
2020,RS,13790,educacao,True,11422973.0,12.07,2014-2022
2021,RS,13751,educacao,True,11466630.0,11.99,2014-2022
2022,RS,13546,educacao,True,,,2014-2022
2023,RS,18533,educacao,True,,,2023-2025
2024,RS,18350,educacao,True,11229915.0,16.34,2023-2025
2025,RS,18496,educacao,True,11233263.0,16.47,2023-2025
2014,SC,7748,educacao,True,6727148.0,11.52,2014-2022
2015,SC,8107,educacao,True,6819190.0,11.89,2014-2022
2016,SC,8393,educacao,True,6910553.0,12.15,2014-2022
2017,SC,8525,educacao,True,7001161.0,12.18,2014-2022
2018,SC,8508,educacao,True,7075494.0,12.02,2014-2022
2019,SC,8441,educacao,True,7164788.0,11.78,2014-2022
2020,SC,8408,educacao,True,7252502.0,11.59,2014-2022
2021,SC,8380,educacao,True,7338473.0,11.42,2014-2022
2022,SC,8269,educacao,True,,,2014-2022
2023,SC,8471,educacao,True,,,2023-2025
2024,SC,8532,educacao,True,8058441.0,10.59,2023-2025
2025,SC,8496,educacao,True,8187029.0,10.38,2023-2025
2014,SE,4262,educacao,True,2219574.0,19.2,2014-2022
2015,SE,4356,educacao,True,2242937.0,19.42,2014-2022
2016,SE,4361,educacao,True,2265779.0,19.25,2014-2022
2017,SE,4187,educacao,True,2288116.0,18.3,2014-2022
2018,SE,4208,educacao,True,2278308.0,18.47,2014-2022
2019,SE,4148,educacao,True,2298696.0,18.05,2014-2022
2020,SE,4141,educacao,True,2318822.0,17.86,2014-2022
2021,SE,4135,educacao,True,2338474.0,17.68,2014-2022
2022,SE,4157,educacao,True,,,2014-2022
2023,SE,3982,educacao,True,,,2023-2025
2024,SE,4087,educacao,True,2291077.0,17.84,2023-2025
2025,SE,4288,educacao,True,2299425.0,18.65,2023-2025
2014,SP,9830,educacao,True,44035304.0,2.23,2014-2022
2015,SP,10058,educacao,True,44396484.0,2.27,2014-2022
2016,SP,10901,educacao,True,44749699.0,2.44,2014-2022
2017,SP,11208,educacao,True,45094866.0,2.49,2014-2022
2018,SP,11210,educacao,True,45538936.0,2.46,2014-2022
2019,SP,11390,educacao,True,45919049.0,2.48,2014-2022
2020,SP,11392,educacao,True,46289333.0,2.46,2014-2022
2021,SP,11362,educacao,True,46649132.0,2.44,2014-2022
2022,SP,11237,educacao,True,,,2014-2022
2023,SP,13082,educacao,True,,,2023-2025
2024,SP,13003,educacao,True,45973194.0,2.83,2023-2025
2025,SP,13008,educacao,True,46081801.0,2.82,2023-2025
2014,TO,2811,educacao,True,1496880.0,18.78,2014-2022
2015,TO,2969,educacao,True,1515126.0,19.6,2014-2022
2016,TO,3071,educacao,True,1532902.0,20.03,2014-2022
2017,TO,3126,educacao,True,1550194.0,20.17,2014-2022
2018,TO,3188,educacao,True,1555229.0,20.5,2014-2022
2019,TO,3234,educacao,True,1572866.0,20.56,2014-2022
2020,TO,3239,educacao,True,1590248.0,20.37,2014-2022
2021,TO,3203,educacao,True,1607363.0,19.93,2014-2022
2022,TO,3210,educacao,True,,,2014-2022
2023,TO,3077,educacao,True,,,2023-2025
2024,TO,3135,educacao,True,1577342.0,19.88,2023-2025
2025,TO,3199,educacao,True,1586859.0,20.16,2023-2025
2014,AC,27,exclusivos,False,790101.0,,2014-2022
2015,AC,24,exclusivos,False,803513.0,,2014-2022
2016,AC,24,exclusivos,False,816687.0,,2014-2022
2017,AC,28,exclusivos,False,829619.0,,2014-2022
2018,AC,27,exclusivos,False,869265.0,,2014-2022
2019,AC,16,exclusivos,False,881935.0,,2014-2022
2020,AC,13,exclusivos,False,894470.0,,2014-2022
2021,AC,13,exclusivos,False,906876.0,,2014-2022
2022,AC,9,exclusivos,False,,,2014-2022
2023,AC,109,exclusivos,True,,,2023-2025
2024,AC,123,exclusivos,True,880631.0,1.4,2023-2025
2025,AC,126,exclusivos,True,884372.0,1.42,2023-2025
2014,AL,579,exclusivos,False,3321730.0,,2014-2022
2015,AL,574,exclusivos,False,3340932.0,,2014-2022
2016,AL,569,exclusivos,False,3358963.0,,2014-2022
2017,AL,541,exclusivos,False,3375823.0,,2014-2022
2018,AL,445,exclusivos,False,3322820.0,,2014-2022
2019,AL,313,exclusivos,False,3337357.0,,2014-2022
2020,AL,291,exclusivos,False,3351543.0,,2014-2022
2021,AL,271,exclusivos,False,3365351.0,,2014-2022
2022,AL,278,exclusivos,False,,,2014-2022
2023,AL,446,exclusivos,True,,,2023-2025
2024,AL,413,exclusivos,True,3220104.0,1.28,2023-2025
2025,AL,408,exclusivos,True,3220848.0,1.27,2023-2025
2014,AM,330,exclusivos,False,3873743.0,,2014-2022
2015,AM,321,exclusivos,False,3938336.0,,2014-2022
2016,AM,312,exclusivos,False,4001667.0,,2014-2022
2017,AM,316,exclusivos,False,4063614.0,,2014-2022
2018,AM,312,exclusivos,False,4080611.0,,2014-2022
2019,AM,214,exclusivos,False,4144597.0,,2014-2022
2020,AM,189,exclusivos,False,4207714.0,,2014-2022
2021,AM,172,exclusivos,False,4269995.0,,2014-2022
2022,AM,164,exclusivos,False,,,2014-2022
2023,AM,473,exclusivos,True,,,2023-2025
2024,AM,513,exclusivos,True,4281209.0,1.2,2023-2025
2025,AM,518,exclusivos,True,4321616.0,1.2,2023-2025
2014,AP,89,exclusivos,False,750912.0,,2014-2022
2015,AP,62,exclusivos,False,766679.0,,2014-2022
2016,AP,64,exclusivos,False,782295.0,,2014-2022
2017,AP,78,exclusivos,False,797722.0,,2014-2022
2018,AP,76,exclusivos,False,829494.0,,2014-2022
2019,AP,43,exclusivos,False,845731.0,,2014-2022
2020,AP,39,exclusivos,False,861773.0,,2014-2022
2021,AP,39,exclusivos,False,877613.0,,2014-2022
2022,AP,36,exclusivos,False,,,2014-2022
2023,AP,133,exclusivos,True,,,2023-2025
2024,AP,137,exclusivos,True,802837.0,1.71,2023-2025
2025,AP,146,exclusivos,True,806517.0,1.81,2023-2025
2014,BA,1934,exclusivos,False,15126371.0,,2014-2022
2015,BA,1836,exclusivos,False,15203334.0,,2014-2022
2016,BA,1770,exclusivos,False,15276566.0,,2014-2022
2017,BA,1751,exclusivos,False,15344447.0,,2014-2022
2018,BA,1658,exclusivos,False,14812617.0,,2014-2022
2019,BA,1306,exclusivos,False,14873064.0,,2014-2022
2020,BA,1233,exclusivos,False,14930634.0,,2014-2022
2021,BA,1173,exclusivos,False,14985284.0,,2014-2022
2022,BA,1191,exclusivos,False,,,2014-2022
2023,BA,2180,exclusivos,True,,,2023-2025
2024,BA,2185,exclusivos,True,14850513.0,1.47,2023-2025
2025,BA,2146,exclusivos,True,14870907.0,1.44,2023-2025
2014,CE,1287,exclusivos,False,8842791.0,,2014-2022
2015,CE,1250,exclusivos,False,8904459.0,,2014-2022
2016,CE,1252,exclusivos,False,8963663.0,,2014-2022
2017,CE,1259,exclusivos,False,9020460.0,,2014-2022
2018,CE,1192,exclusivos,False,9075649.0,,2014-2022
2019,CE,841,exclusivos,False,9132078.0,,2014-2022
2020,CE,799,exclusivos,False,9187103.0,,2014-2022
2021,CE,749,exclusivos,False,9240580.0,,2014-2022
2022,CE,728,exclusivos,False,,,2014-2022
2023,CE,1471,exclusivos,True,,,2023-2025
2024,CE,1492,exclusivos,True,9233656.0,1.62,2023-2025
2025,CE,1514,exclusivos,True,9268836.0,1.63,2023-2025
2014,DF,453,exclusivos,False,2852372.0,,2014-2022
2015,DF,454,exclusivos,False,2914830.0,,2014-2022
2016,DF,458,exclusivos,False,2977216.0,,2014-2022
2017,DF,376,exclusivos,False,3039444.0,,2014-2022
2018,DF,352,exclusivos,False,2974703.0,,2014-2022
2019,DF,223,exclusivos,False,3015268.0,,2014-2022
2020,DF,202,exclusivos,False,3055149.0,,2014-2022
2021,DF,180,exclusivos,False,3094325.0,,2014-2022
2022,DF,172,exclusivos,False,,,2014-2022
2023,DF,3204,exclusivos,True,,,2023-2025
2024,DF,3754,exclusivos,True,2982818.0,12.59,2023-2025
2025,DF,4485,exclusivos,True,2996899.0,14.97,2023-2025
2014,ES,695,exclusivos,False,3885049.0,,2014-2022
2015,ES,658,exclusivos,False,3929911.0,,2014-2022
2016,ES,635,exclusivos,False,3973697.0,,2014-2022
2017,ES,583,exclusivos,False,4016356.0,,2014-2022
2018,ES,534,exclusivos,False,3972388.0,,2014-2022
2019,ES,369,exclusivos,False,4018650.0,,2014-2022
2020,ES,358,exclusivos,False,4064052.0,,2014-2022
2021,ES,421,exclusivos,False,4108508.0,,2014-2022
2022,ES,274,exclusivos,False,,,2014-2022
2023,ES,579,exclusivos,True,,,2023-2025
2024,ES,553,exclusivos,True,4102129.0,1.35,2023-2025
2025,ES,533,exclusivos,True,4126854.0,1.29,2023-2025
2014,GO,720,exclusivos,False,6523222.0,,2014-2022
2015,GO,687,exclusivos,False,6610681.0,,2014-2022
2016,GO,676,exclusivos,False,6695855.0,,2014-2022
2017,GO,711,exclusivos,False,6778772.0,,2014-2022
2018,GO,668,exclusivos,False,6921161.0,,2014-2022
2019,GO,453,exclusivos,False,7018354.0,,2014-2022
2020,GO,428,exclusivos,False,7113540.0,,2014-2022
2021,GO,409,exclusivos,False,7206589.0,,2014-2022
2022,GO,412,exclusivos,False,,,2014-2022
2023,GO,800,exclusivos,True,,,2023-2025
2024,GO,769,exclusivos,True,7350483.0,1.05,2023-2025
2025,GO,768,exclusivos,True,7423629.0,1.03,2023-2025
2014,MA,661,exclusivos,False,6850884.0,,2014-2022
2015,MA,637,exclusivos,False,6904241.0,,2014-2022
2016,MA,595,exclusivos,False,6954036.0,,2014-2022
2017,MA,597,exclusivos,False,7000229.0,,2014-2022
2018,MA,571,exclusivos,False,7035055.0,,2014-2022
2019,MA,462,exclusivos,False,7075181.0,,2014-2022
2020,MA,443,exclusivos,False,7114598.0,,2014-2022
2021,MA,429,exclusivos,False,7153262.0,,2014-2022
2022,MA,453,exclusivos,False,,,2014-2022
2023,MA,671,exclusivos,True,,,2023-2025
2024,MA,664,exclusivos,True,7010960.0,0.95,2023-2025
2025,MA,648,exclusivos,True,7018211.0,0.92,2023-2025
2014,MG,3198,exclusivos,False,20734097.0,,2014-2022
2015,MG,3090,exclusivos,False,20869101.0,,2014-2022
2016,MG,3023,exclusivos,False,20997560.0,,2014-2022
2017,MG,2957,exclusivos,False,21119536.0,,2014-2022
2018,MG,2790,exclusivos,False,21040662.0,,2014-2022
2019,MG,1910,exclusivos,False,21168791.0,,2014-2022
2020,MG,1784,exclusivos,False,21292666.0,,2014-2022
2021,MG,1635,exclusivos,False,21411923.0,,2014-2022
2022,MG,1608,exclusivos,False,,,2014-2022
2023,MG,3497,exclusivos,True,,,2023-2025
2024,MG,3472,exclusivos,True,21322691.0,1.63,2023-2025
2025,MG,3462,exclusivos,True,21393441.0,1.62,2023-2025
2014,MS,332,exclusivos,False,2619657.0,,2014-2022
2015,MS,302,exclusivos,False,2651235.0,,2014-2022
2016,MS,281,exclusivos,False,2682386.0,,2014-2022
2017,MS,273,exclusivos,False,2713147.0,,2014-2022
2018,MS,252,exclusivos,False,2748023.0,,2014-2022
2019,MS,185,exclusivos,False,2778986.0,,2014-2022
2020,MS,164,exclusivos,False,2809394.0,,2014-2022
2021,MS,147,exclusivos,False,2839188.0,,2014-2022
2022,MS,144,exclusivos,False,,,2014-2022
2023,MS,460,exclusivos,True,,,2023-2025
2024,MS,479,exclusivos,True,2901895.0,1.65,2023-2025
2025,MS,516,exclusivos,True,2924631.0,1.76,2023-2025
2014,MT,392,exclusivos,False,3224357.0,,2014-2022
2015,MT,370,exclusivos,False,3265486.0,,2014-2022
2016,MT,335,exclusivos,False,3305531.0,,2014-2022
2017,MT,328,exclusivos,False,3344544.0,,2014-2022
2018,MT,302,exclusivos,False,3441998.0,,2014-2022
2019,MT,235,exclusivos,False,3484466.0,,2014-2022
