uf,nome,regiao,lente,populacao,n_ativos,n_ativos_base_b,n_abono,A_raw,B_raw,A_pct,B_pct,quadrante,classe,gravidade,posicao,flags
PR,Paraná,Sul,educacao,11890517,12142,12142,595,10.21,0.049,19.2,11.5,deserto_estavel,Deserto estável,46.2,16,
MG,Minas Gerais,Sudeste,educacao,21393441,35324,35324,2595,16.51,0.0735,61.5,46.2,presenca_consolidada,Presença consolidada,42.4,18,
RS,Rio Grande do Sul,Sul,educacao,11233263,18496,18496,1214,16.47,0.0656,57.7,30.8,presenca_consolidada,Presença consolidada,36.6,19,
SE,Sergipe,Nordeste,educacao,2299425,4288,4288,307,18.65,0.0716,69.2,38.5,presenca_consolidada,Presença consolidada,34.6,20,
MS,Mato Grosso do Sul,Centro-Oeste,educacao,2924631,5791,5791,341,19.8,0.0589,73.1,23.1,presenca_consolidada,Presença consolidada,25.0,21,
AC,Acre,Norte,educacao,884372,2175,2174,130,24.59,0.0598,92.3,26.9,presenca_consolidada,Presença consolidada,17.3,22,
TO,Tocantins,Norte,educacao,1586859,3199,3199,74,20.16,0.0231,76.9,7.7,presenca_consolidada,Presença consolidada,15.4,23,
RR,Roraima,Norte,educacao,738772,1757,1757,103,23.78,0.0586,88.5,19.2,presenca_consolidada,Presença consolidada,15.4,23,
DF,Distrito Federal,Centro-Oeste,educacao,2996899,9890,9889,509,33.0,0.0515,100.0,15.4,presenca_consolidada,Presença consolidada,7.7,25,
AP,Amapá,Norte,educacao,806517,1790,1790,7,22.19,0.0039,84.6,0.0,presenca_consolidada,Presença consolidada,7.7,25,
RN,Rio Grande do Norte,Nordeste,educacao,3455236,8896,8896,126,25.75,0.0142,96.2,3.8,presenca_consolidada,Presença consolidada,3.8,27,
RO,Rondônia,Norte,nucleo,1751950,1787,1787,252,10.2,0.141,11.5,88.5,deserto_critico,Deserto crítico,88.5,1,
BA,Bahia,Nordeste,nucleo,14870907,10761,10760,1238,7.24,0.1151,3.8,73.1,deserto_critico,Deserto crítico,84.6,2,
SP,São Paulo,Sudeste,nucleo,46081801,20701,20700,2144,4.49,0.1036,0.0,61.5,deserto_critico,Deserto crítico,80.8,3,
CE,Ceará,Nordeste,nucleo,9268836,11455,10954,1378,12.36,0.1258,23.1,80.8,deserto_critico,Deserto crítico,78.8,4,
AL,Alagoas,Nordeste,nucleo,3220848,4320,4320,633,13.41,0.1465,38.5,92.3,deserto_critico,Deserto crítico,76.9,5,
GO,Goiás,Centro-Oeste,nucleo,7423629,7805,7388,768,10.51,0.104,15.4,65.4,deserto_critico,Deserto crítico,75.0,6,
MA,Maranhão,Nordeste,nucleo,7018211,7140,7140,659,10.17,0.0923,7.7,51.9,deserto_critico,Deserto crítico,72.1,7,
PA,Pará,Norte,nucleo,8711196,11340,11340,1307,13.02,0.1153,34.6,76.9,deserto_critico,Deserto crítico,71.2,8,
PE,Pernambuco,Nordeste,nucleo,9562007,13925,13925,1932,14.56,0.1387,46.2,84.6,deserto_critico,Deserto crítico,69.2,9,
RJ,Rio de Janeiro,Sudeste,nucleo,17223547,32015,32015,5033,18.59,0.1572,57.7,96.2,presenca_em_risco,Presença em risco,69.2,9,
AM,Amazonas,Norte,nucleo,4321616,5458,5458,614,12.63,0.1125,30.8,69.2,deserto_critico,Deserto crítico,69.2,9,
PB,Paraíba,Nordeste,nucleo,4164468,9211,9211,1503,22.12,0.1632,80.8,100.0,presenca_em_risco,Presença em risco,59.6,12,
SC,Santa Catarina,Sul,nucleo,8187029,10192,10192,908,12.45,0.0891,26.9,46.2,deserto_estavel,Deserto estável,59.6,12,
PI,Piauí,Nordeste,nucleo,3384547,6295,6295,587,18.6,0.0932,61.5,57.7,presenca_em_risco,Presença em risco,48.1,14,
MT,Mato Grosso,Centro-Oeste,nucleo,3893659,5651,5651,463,14.51,0.0819,42.3,38.5,deserto_estavel,Deserto estável,48.1,14,
ES,Espírito Santo,Sudeste,nucleo,4126854,7013,7013,595,16.99,0.0848,50.0,42.3,presenca_consolidada,Presença consolidada,46.2,16,
PR,Paraná,Sul,nucleo,11890517,14461,14461,976,12.16,0.0675,19.2,11.5,deserto_estavel,Deserto estável,46.2,16,
MG,Minas Gerais,Sudeste,nucleo,21393441,38786,38786,3157,18.13,0.0814,53.8,34.6,presenca_consolidada,Presença consolidada,40.4,18,
RR,Roraima,Norte,nucleo,738772,1918,1918,177,25.96,0.0923,88.5,51.9,presenca_em_risco,Presença em risco,31.7,19,
SE,Sergipe,Nordeste,nucleo,2299425,4624,4624,376,20.11,0.0813,69.2,30.8,presenca_consolidada,Presença consolidada,30.8,20,
RS,Rio Grande do Sul,Sul,nucleo,11233263,21091,21091,1608,18.78,0.0762,65.4,19.2,presenca_consolidada,Presença consolidada,26.9,21,
